PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.061,197.839,0.75,0.655,0,0,1,2035.0
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.046,309.107,0.662,0.05,0,0,1,2035.0
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.042,80.029,0.514,0.098,0,0,1,2035.0
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.068,129.415,0.774,0.747,1,1,1,2035.0
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.009,305.93,0.923,0.0,0,0,1,2035.001
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.053,325.501,0.143,0.494,0,0,1,2035.001
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.02,233.318,0.169,0.003,0,0,1,2035.001
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.073,126.124,0.479,0.354,1,1,1,2035.001
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.054,110.817,0.779,0.068,0,0,1,2035.001
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.083,112.792,1.645,0.821,1,1,1,2035.001
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.152,334.83,0.681,0.668,1,1,1,2035.001
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.032,207.537,1.414,0.006,0,0,1,2035.001
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.057,358.357,0.966,0.472,0,0,1,2035.001
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.081,84.925,1.509,0.422,1,1,1,2035.002
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.099,172.29,1.805,0.274,1,1,1,2035.002
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.853,341.609,1.15,0.398,1,1,1,2035.002
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.115,244.644,1.524,0.501,1,1,1,2035.002
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.305,343.412,1.453,0.002,0,0,1,2035.002
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.799,256.157,1.271,0.64,1,1,1,2035.002
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.119,278.135,1.797,0.176,1,1,1,2035.002
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.082,87.956,2.625,0.028,0,0,1,2035.002
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.082,228.312,1.579,0.22,1,1,1,2035.002
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.096,297.563,1.626,0.162,1,1,1,2035.002
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.194,284.374,2.453,0.746,1,1,1,2035.002
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.062,89.119,0.16,0.38,1,1,2,2035.027
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.06,293.928,0.158,0.445,0,0,2,2035.027
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.068,162.479,0.187,0.146,1,2,3,2035.052
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.028,78.062,0.158,0.902,0,0,3,2035.052
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.065,238.696,0.175,0.171,1,3,4,2035.077
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.061,116.55,0.168,0.152,0,0,4,2035.077
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.052,330.138,0.142,0.508,0,3,5,2035.102
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.025,248.477,0.169,0.006,0,0,5,2035.102
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.167,48.007,0.639,0.491,1,2,2,2035.121
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.062,88.023,0.159,0.385,1,4,6,2035.127
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.06,294.666,0.158,0.47,0,0,6,2035.127
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.06,277.792,0.444,0.119,0,1,2,2035.135
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.09,172.397,0.752,0.216,1,2,2,2035.146
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.068,162.407,0.187,0.147,1,5,7,2035.152
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.031,82.395,0.158,0.879,0,0,7,2035.152
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.06,115.369,0.744,0.091,0,0,2,2035.174
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.057,240.579,0.589,0.342,0,0,2,2035.174
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.065,239.271,0.174,0.172,1,6,8,2035.177
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.06,117.813,0.169,0.129,0,0,8,2035.177
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.839,24.991,1.193,0.163,1,2,2,2035.194
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.083,300.007,0.832,0.271,1,1,2,2035.199
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.055,198.591,0.766,0.673,0,0,2,2035.21
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.096,13.095,0.923,0.28,1,1,2,2035.221
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.147,114.473,0.59,0.135,1,3,3,2035.241
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.056,27.386,0.514,0.748,0,1,3,2035.268
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.046,250.232,0.742,0.016,0,2,3,2035.293
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.128,155.357,1.569,0.419,1,2,2,2035.304
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.056,128.896,0.808,0.745,0,0,3,2035.348
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.037,19.495,0.576,0.786,0,0,3,2035.348
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.083,258.191,1.338,0.349,1,1,2,2035.356
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.062,143.281,1.015,0.27,1,1,2,2035.356
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.148,208.751,0.609,0.12,1,4,4,2035.359
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.724,79.172,1.189,0.082,1,3,3,2035.384
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.076,19.254,0.931,0.087,1,2,3,2035.398
