PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.061,197.839,0.75,0.655,0,0,1,2035.0
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.046,309.097,0.662,0.05,0,0,1,2035.0
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.042,79.993,0.514,0.098,0,0,1,2035.0
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.068,129.354,0.774,0.748,1,1,1,2035.0
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.009,305.153,0.923,0.0,0,0,1,2035.0
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.053,324.368,0.143,0.49,0,0,1,2035.0
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.02,231.016,0.169,0.003,0,0,1,2035.0
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.073,125.901,0.479,0.356,1,1,1,2035.001
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.054,110.605,0.779,0.068,0,0,1,2035.001
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.083,112.689,1.646,0.821,1,1,1,2035.001
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.152,334.514,0.681,0.667,1,1,1,2035.001
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.032,207.301,1.414,0.006,0,0,1,2035.001
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.057,358.147,0.966,0.472,0,0,1,2035.001
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.081,84.816,1.509,0.422,1,1,1,2035.001
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.099,172.186,1.805,0.275,1,1,1,2035.001
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.853,341.449,1.149,0.4,1,1,1,2035.001
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.115,244.56,1.525,0.5,1,1,1,2035.001
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.302,343.32,1.453,0.002,0,0,1,2035.001
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.8,255.981,1.271,0.639,1,1,1,2035.001
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.119,278.015,1.797,0.176,0,0,1,2035.001
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.082,87.89,2.625,0.028,0,0,1,2035.001
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.082,228.258,1.579,0.219,1,1,1,2035.001
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.096,297.424,1.627,0.163,0,0,1,2035.001
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.194,284.284,2.453,0.746,1,1,1,2035.001
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.062,86.227,0.159,0.393,0,0,2,2035.026
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.061,293.043,0.158,0.415,0,0,2,2035.026
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.068,159.776,0.187,0.15,1,1,3,2035.051
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.025,72.94,0.157,0.92,0,0,3,2035.051
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.065,235.462,0.176,0.165,1,2,4,2035.076
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.062,115.504,0.168,0.173,1,1,4,2035.076
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.053,324.813,0.143,0.491,0,2,5,2035.1
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.022,240.618,0.169,0.004,0,1,5,2035.1
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.167,47.36,0.64,0.495,1,2,2,2035.12
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.061,83.715,0.157,0.404,0,2,6,2035.125
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.061,293.342,0.158,0.425,0,1,6,2035.125
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.059,276.47,0.444,0.114,0,1,2,2035.134
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.09,172.039,0.752,0.22,1,2,2,2035.145
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.068,158.25,0.186,0.152,1,3,7,2035.15
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.027,75.662,0.157,0.911,0,1,7,2035.15
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.059,115.208,0.743,0.088,0,0,2,2035.172
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.057,240.048,0.588,0.334,0,0,2,2035.172
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.065,234.206,0.176,0.162,1,4,8,2035.175
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.062,116.11,0.168,0.16,0,1,8,2035.175
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.84,24.58,1.192,0.165,1,2,2,2035.192
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.083,300.393,0.833,0.269,1,1,2,2035.2
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.056,197.669,0.765,0.668,0,0,2,2035.208
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.096,13.125,0.922,0.283,1,1,2,2035.222
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.148,113.194,0.59,0.139,1,3,3,2035.239
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.057,25.284,0.514,0.746,0,1,3,2035.266
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.047,248.349,0.742,0.016,0,2,3,2035.291
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.128,155.429,1.569,0.417,1,2,2,2035.305
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.057,128.66,0.808,0.737,0,0,3,2035.346
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.036,17.794,0.577,0.794,0,0,3,2035.346
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.147,207.2,0.608,0.117,1,4,4,2035.357
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.083,258.237,1.338,0.35,1,1,2,2035.357
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.062,143.507,1.015,0.269,1,1,2,2035.357
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.724,79.348,1.189,0.082,1,3,3,2035.384
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.076,20.685,0.932,0.087,1,2,3,2035.401
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.07,141.362,0.464,0.229,1,2,4,2035.401
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,1.157,352.767,1.568,0.418,0,0,2,2035.404
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.896,21.413,1.284,0.524,1,2,2,2035.404
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.075,172.369,1.429,0.483,1,2,2,2035.412
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.071,313.047,0.873,0.558,1,1,3,2035.418
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.088,333.395,0.757,0.178,1,3,4,2035.437
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.008,76.91,0.854,0.996,0,1,3,2035.443
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.106,241.495,1.982,0.206,1,2,2,2035.448
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.08,9.912,1.421,0.758,1,2,2,2035.451
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.18,269.179,0.664,0.413,1,5,5,2035.476
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.039,288.051,0.742,0.858,0,0,4,2035.519
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.025,146.336,0.52,0.014,0,0,4,2035.519
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.067,295.427,0.455,0.205,1,3,5,2035.533
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.791,138.557,1.142,0.149,1,4,4,2035.577
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.108,23.052,1.586,0.435,1,1,2,2035.58
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.074,13.294,0.777,0.697,1,4,5,2035.583
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.152,332.581,0.682,0.665,1,6,6,2035.594
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.086,97.557,0.873,0.239,1,3,4,2035.599
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.124,118.752,2.413,0.351,1,1,2,2035.605
