PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.095923,297.192127,1.626919,0.16363,1,1,1,2035.0
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.081656,228.168555,1.579787,0.21734,1,1,1,2035.0
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.081517,87.779683,2.625717,0.027899,0,0,1,2035.0
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.119349,277.814985,1.797433,0.175349,1,1,1,2035.0
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.193962,284.133436,2.453187,0.74666,1,1,1,2035.0
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.296903,343.161905,1.452461,0.002208,0,0,1,2035.0
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.801542,255.68907,1.270422,0.63731,1,1,1,2035.0
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.098766,172.013996,1.804983,0.27486,1,1,1,2035.0
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.114787,244.420394,1.525236,0.498337,1,1,1,2035.0
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.080965,84.634343,1.509407,0.421549,1,1,1,2035.0
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.032012,206.905598,1.413779,0.005513,0,0,1,2035.0
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.057364,357.796618,0.966512,0.471194,0,0,1,2035.0
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.08322,112.51542,1.645616,0.821809,1,1,1,2035.0
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.008698,303.839498,0.922436,7.8e-05,0,0,1,2035.0
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.061497,197.83932,0.75017,0.655087,1,1,1,2035.0
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.851854,341.182973,1.149087,0.401243,1,1,1,2035.0
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.054116,110.25251,0.779054,0.067152,0,0,1,2035.0
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.045608,309.079704,0.662268,0.049931,0,0,1,2035.0
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.042021,79.933556,0.514273,0.098438,0,0,1,2035.0
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.067633,129.251087,0.773734,0.748281,1,1,1,2035.0
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.151992,333.989231,0.681578,0.666789,1,1,1,2035.0
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.073045,125.528563,0.479409,0.359505,1,1,1,2035.0
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.053602,322.497689,0.143118,0.483479,0,0,1,2035.0
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.01934,226.951932,0.169419,0.002697,0,0,1,2035.0
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.060487,81.60673,0.156547,0.413279,1,1,2,2035.024754
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.06211,291.70866,0.158908,0.369191,1,1,2,2035.024754
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.06487,234.99277,0.176146,0.163919,1,2,3,2035.075536
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.062617,115.355084,0.168051,0.176226,1,2,3,2035.075536
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.060659,82.303139,0.156837,0.410284,1,3,4,2035.124947
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.061263,292.929462,0.158417,0.410654,1,3,4,2035.124947
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.058906,115.143642,0.742682,0.08664,0,0,2,2035.171812
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.056745,239.838631,0.588112,0.330543,0,0,2,2035.171812
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.063605,261.830048,0.164564,0.234402,1,4,5,2035.183948
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.044427,127.952124,0.170371,0.038507,0,3,5,2035.183948
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.055969,197.136171,0.764526,0.66493,0,0,2,2035.207389
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.095997,13.036298,0.923007,0.274621,1,1,2,2035.219533
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.063049,355.076629,0.50444,0.660525,1,2,2,2035.236158
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.144867,117.581411,0.588831,0.127532,1,2,2,2035.245076
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.068056,152.762142,0.185324,0.16118,1,5,6,2035.248428
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.023951,70.089544,0.1571,0.928212,0,3,6,2035.248428
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.048307,235.217448,0.741978,0.018336,0,1,2,2035.276926
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.06502,101.570287,0.165556,0.325075,1,6,7,2035.330716
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.04753,302.912023,0.155998,0.699636,0,3,7,2035.330716
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.077799,354.106893,0.915996,0.10169,1,2,2,2035.339234
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.057901,128.407266,0.80776,0.727615,0,0,3,2035.343623
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.035613,15.853121,0.578431,0.803587,0,0,3,2035.343623
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.082681,258.077258,1.339011,0.345318,1,1,2,2035.354717
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.062409,142.71624,1.013993,0.271658,1,1,2,2035.354717
HD 95735_3,HD 95735,0.164,0.146,0.847,1.655,2.546,0.44,0.02,0.064185,253.896357,0.168176,0.209118,1,7,8,2035.381498
HD 95735_6,HD 95735,0.163,0.047,1.008,2.764,2.546,0.44,0.02,0.045602,127.08672,0.170311,0.042312,0,3,8,2035.381498
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.07072,312.127115,0.871802,0.565568,1,1,3,2035.414778
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.054286,178.020431,0.44167,0.079169,0,2,3,2035.440808
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.178993,272.093683,0.666476,0.432078,1,3,3,2035.481934
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.741392,113.321795,1.167245,0.09816,1,2,2,2035.490201
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.037121,287.020992,0.744458,0.872693,0,0,4,2035.515435
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.024986,139.055925,0.51885,0.014716,0,0,4,2035.515435
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.078481,8.299789,0.775757,0.648884,1,2,3,2035.56892
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.101802,184.873486,1.478021,0.09,1,2,2,2035.569397
HD 187691 A_1,HD 187691 A,2.61,0.091,1.018,1.386,19.488,1.25,2.835,0.123574,118.691974,2.412869,0.350009,1,1,2,2035.603339
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.082222,119.877111,0.829479,0.368178,1,3,3,2035.662029
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,0.632363,356.632445,1.657136,0.876817,1,1,2,2035.672595
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.821343,71.633175,1.262515,0.109299,1,2,2,2035.672595
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.828081,165.021721,1.109944,0.26447,1,3,3,2035.680402
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.049655,307.648326,0.662356,0.068923,0,0,5,2035.687247
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.050115,259.098871,0.606773,0.620662,0,0,5,2035.687247
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.085107,195.234958,0.866486,0.167041,1,2,3,2035.688382
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.063783,85.879559,0.50845,0.657557,1,3,4,2035.701623
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.066936,128.354558,0.773956,0.754048,1,3,4,2035.754066
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.060216,128.410464,0.762081,0.116007,1,2,4,2035.834496
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.055192,114.145254,0.736984,0.068639,0,0,6,2035.859058
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.04961,47.411624,0.54557,0.503967,0,0,6,2035.859058
HD 34411_1,HD 34411,1.539,0.078,0.897,0.713,12.562,1.08,1.732,0.112013,68.907233,1.548878,0.13756,1,2,2,2035.863608
HD 39091_5,HD 39091,1.437,0.051,1.31,1.974,18.287,1.08,1.533,0.071991,285.382958,1.372194,0.190051,1,2,2,2035.907934
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.132747,177.807011,0.593653,0.083053,1,4,4,2035.914681
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.068736,298.91842,0.458093,0.228678,1,4,5,2035.915863
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.073505,190.338915,0.745366,0.080908,1,4,5,2035.959759
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.087625,308.263605,1.454811,0.053,0,2,3,2035.964821
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.117323,315.01735,2.140538,0.284795,1,2,2,2036.027285
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.061104,127.488757,0.807513,0.692255,1,1,7,2036.03087
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.039006,208.112891,0.545524,0.057431,0,0,7,2036.03087
HD 10780_0,HD 10780,0.841,0.11,1.077,1.181,10.041,0.9,0.516,0.082716,315.285279,0.861523,0.196758,1,4,4,2036.053317
HD 219134_2,HD 219134,0.475,0.085,1.279,2.244,6.542,0.75,0.266,0.06564,91.500625,0.505937,0.628338,1,5,6,2036.086267
HD 17206_0,HD 17206,1.742,0.09,0.885,1.25,14.276,1.21,2.617,0.118319,125.865935,1.733524,0.438835,1,2,2,2036.089841
HD 693_4,HD 693,1.744,0.105,1.392,2.348,18.886,1.18,2.997,0.101635,52.922376,1.919885,0.308036,1,2,2,2036.093979
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,0.108414,125.829308,1.8982,0.55616,1,2,2,2036.108337
HD 65907 A_1,HD 65907 A,1.316,0.075,0.982,3.131,16.172,1.11,1.29,0.072094,86.521615,1.323883,0.11788,1,2,3,2036.109434
HD 65907 A_2,HD 65907 A,1.009,0.058,1.202,5.136,16.172,1.11,1.29,0.055613,62.692609,0.952435,0.500255,0,1,3,2036.109434
HD 101501_7,HD 101501,0.888,0.054,0.887,0.333,9.576,0.94,0.609,0.093189,14.489414,0.911486,0.426775,1,3,4,2036.127093
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.749434,310.888041,1.113305,0.571418,1,4,4,2036.130878
HD 10361_1,HD 10361,0.761,0.025,1.303,2.715,8.197,0.77,0.304,0.071958,316.810213,0.749843,0.07246,1,5,6,2036.142164
HD 3651 A_0,HD 3651 A,0.818,0.09,1.086,0.195,11.108,0.86,0.532,0.066666,305.186895,0.863689,0.618811,1,3,5,2036.19257
HD 209100_5,HD 209100,0.635,0.076,0.931,0.965,3.638,0.72,0.222,0.165022,42.925684,0.64385,0.51999,1,5,5,2036.303594
HD 128620_0,HD 128620,1.567,0.074,0.945,0.738,1.332,1.11,1.521,1.17931,171.905398,1.587175,0.393122,0,1,3,2036.323273
HD 128620_1,HD 128620,1.266,0.016,1.198,6.221,1.332,1.11,1.521,0.841275,248.969818,1.267758,0.587633,1,3,3,2036.323273
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,0.214802,18.40836,2.392793,0.084088,0,1,2,2036.351603
HD 17925_2,HD 17925,0.735,0.099,0.938,0.945,10.361,0.82,0.401,0.057012,305.182442,0.664443,0.123366,0,1,8,2036.364325
HD 17925_3,HD 17925,0.561,0.086,1.065,2.041,10.361,0.82,0.401,0.049539,65.355184,0.522813,0.228998,0,0,8,2036.364325
HD 20807_1,HD 20807,1.546,0.069,0.954,0.846,12.039,1.07,1.017,0.118133,358.628531,1.588797,0.573387,1,3,4,2036.382163
HD 46588 A_0,HD 46588 A,1.961,0.092,1.375,5.123,18.202,1.18,1.826,0.112404,7.968966,2.06901,0.396248,1,3,3,2036.473749
HD 128621_4,HD 128621,1.135,0.055,1.179,1.502,1.332,0.94,0.503,0.785766,44.185646,1.19737,0.113796,1,5,5,2036.51423
