PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 134083_5,HD 134083,1.875,0.031,1.198,1.784,19.536,1.33,3.255,0.094618,64.412867,1.861825,0.260771,1,1,1,2035.0
HD 142373_6,HD 142373,1.406,0.045,1.017,0.647,15.898,1.08,3.136,0.088064,224.657391,1.423854,0.414673,1,1,1,2035.0
HD 142860_2,HD 142860,2.291,0.114,1.329,3.22,11.254,1.25,3.039,0.156568,302.046342,2.082436,0.098208,0,0,1,2035.0
HD 693_9,HD 693,2.179,0.102,1.017,0.608,18.886,1.18,2.997,0.101455,167.465952,2.379141,0.672469,1,1,1,2035.0
HD 43386_1,HD 43386,1.699,0.14,0.955,0.772,19.588,1.33,2.957,0.050674,65.632287,1.785581,0.020984,0,0,1,2035.0
HD 43042_5,HD 43042,1.532,0.077,1.331,2.258,21.776,1.29,2.936,0.02605,299.243816,1.604524,0.940361,0,0,1,2035.0
HD 187691 A_1,HD 187691 A,2.86,0.036,0.819,0.388,19.488,1.25,2.835,0.107809,245.9616,2.819565,0.058711,0,0,1,2035.0
HD 23249_2,HD 23249,1.416,0.072,0.972,0.904,9.089,0.87,2.941,0.141952,318.201029,1.506665,0.619998,1,1,1,2035.0
HD 69897_4,HD 69897,2.028,0.05,1.137,2.088,18.223,1.25,2.425,0.098391,231.743422,2.065349,0.110216,0,0,1,2035.0
HD 160691_1,HD 160691,1.549,0.079,0.867,0.464,15.604,1.0,1.899,0.098193,205.581078,1.64599,0.52247,1,1,1,2035.0
HD 95128_1,HD 95128,1.071,0.046,0.81,0.796,13.887,1.07,1.577,0.042766,219.639388,1.078695,0.855114,0,0,1,2035.0
HD 33262 A_0,HD 33262 A,1.875,0.047,0.828,0.128,11.693,1.14,1.466,0.160908,198.826311,1.955467,0.193978,0,0,1,2035.0
HD 86728 A_3,HD 86728 A,1.803,0.069,0.936,0.842,14.926,1.0,1.378,0.114456,75.50917,1.92611,0.583836,1,1,1,2035.0
HD 72905_0,HD 72905,1.129,0.099,0.912,0.308,14.439,1.08,0.973,0.052545,128.367564,1.233024,0.029557,0,0,1,2035.0
HD 30495_1,HD 30495,1.516,0.121,1.188,1.92,13.24,1.04,0.966,0.113345,324.31187,1.669388,0.130339,1,1,1,2035.0
HD 102365_5,HD 102365,1.166,0.049,0.906,0.425,9.319,1.02,0.844,0.109436,252.86533,1.1111,0.145279,1,1,1,2035.0
HD 10700_1,HD 10700,1.075,0.026,0.812,1.015,3.652,0.94,0.506,0.22955,313.861658,1.089466,0.066432,0,0,1,2035.0
HD 10700_6,HD 10700,1.108,0.065,1.12,0.759,3.652,0.94,0.506,0.191116,132.808281,1.170004,0.026593,0,0,1,2035.0
HD 131156 A_3,HD 131156 A,0.725,0.048,0.988,0.855,6.754,0.96,0.553,0.093975,95.367247,0.720674,0.117909,1,1,1,2035.0
HD 37394_3,HD 37394,0.685,0.133,0.854,0.223,12.27,0.88,0.478,0.0529,274.437375,0.657016,0.244666,0,0,1,2035.0
HD 131977_5,HD 131977,0.527,0.147,1.054,2.008,5.886,0.72,0.223,0.085427,299.818278,0.502883,0.310571,1,1,1,2035.0
HD 142860_2,HD 142860,2.291,0.114,1.329,3.22,11.254,1.25,3.039,0.180304,313.15371,2.030661,0.337905,1,1,2,2035.25
HD 43386_1,HD 43386,1.699,0.14,0.955,0.772,19.588,1.33,2.957,0.082275,110.729131,1.913216,0.096306,0,0,2,2035.25
HD 43042_5,HD 43042,1.532,0.077,1.331,2.258,21.776,1.29,2.936,0.063959,335.814863,1.501052,0.527177,1,1,2,2035.25
HD 187691 A_1,HD 187691 A,2.86,0.036,0.819,0.388,19.488,1.25,2.835,0.107054,275.078747,2.788031,0.05966,0,0,2,2035.25
HD 69897_4,HD 69897,2.028,0.05,1.137,2.088,18.223,1.25,2.425,0.048221,238.736213,2.005036,0.009704,0,0,2,2035.25
HD 95128_1,HD 95128,1.071,0.046,0.81,0.796,13.887,1.07,1.577,0.068014,342.723078,1.120265,0.63442,1,1,2,2035.25
HD 33262 A_0,HD 33262 A,1.875,0.047,0.828,0.128,11.693,1.14,1.466,0.104649,205.286928,1.91872,0.033445,0,0,2,2035.25
HD 72905_0,HD 72905,1.129,0.099,0.912,0.308,14.439,1.08,0.973,0.077282,180.623023,1.117683,0.347302,1,1,2,2035.25
