PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 102365_0,HD 102365,1.02,0.844,1.154,11.472,2.235,0.024,9,1.227,True
HD 10361_1,HD 10361,0.77,0.304,0.761,2.715,1.303,0.025,15,0.757,True
HD 115617_1,HD 115617,0.97,0.825,0.76,6.157,2.931,0.09,13,0.673,True
HD 128621_0,HD 128621,0.94,0.503,0.181,0.281,0.591,0.076,16,0.079,False
HD 131156 A_0,HD 131156 A,0.96,0.553,0.922,6.027,2.426,0.01,36,0.904,True
HD 131156 A_1,HD 131156 A,0.96,0.553,1.097,4.971,1.932,0.147,20,1.173,True
HD 136352_2,HD 136352,1.02,1.029,0.995,3.519,1.549,0.082,4,0.983,True
HD 142860_5,HD 142860,1.25,3.039,0.92,8.017,2.443,0.074,7,0.789,False
HD 155885_0,HD 155885,0.85,0.332,0.424,0.365,1.08,0.016,9,0.299,False
HD 155886_3,HD 155886,0.85,0.327,1.253,7.774,2.915,0.044,22,1.521,False
HD 155886_7,HD 155886,0.85,0.327,0.59,16.163,3.352,0.079,36,0.492,True
HD 156026_3,HD 156026,0.68,0.158,1.001,7.224,2.318,0.06,22,1.214,False
HD 1581_1,HD 1581,1.11,1.262,1.541,10.663,2.633,0.046,11,1.816,True
HD 1581_3,HD 1581,1.11,1.262,1.491,10.6,2.76,0.126,8,1.728,True
HD 165341 A_3,HD 165341 A,0.88,0.532,0.642,1.833,1.615,0.027,8,0.548,True
HD 165499_4,HD 165499,1.08,1.731,1.569,24.497,3.377,0.062,9,1.891,True
HD 16895 A_5,HD 16895 A,1.21,2.246,1.554,9.969,3.144,0.05,12,1.761,True
HD 17206_1,HD 17206,1.21,2.617,0.879,5.781,2.253,0.039,12,0.749,False
HD 185144_3,HD 185144,0.87,0.434,0.688,4.389,2.317,0.135,21,0.612,True
HD 192310_1,HD 192310,0.77,0.404,1.472,7.674,2.73,0.082,9,2.035,False
HD 192310_2,HD 192310,0.77,0.404,0.631,13.411,2.544,0.109,29,0.571,True
HD 19373_0,HD 19373,1.08,2.23,0.74,9.93,3.212,0.034,21,0.613,False
HD 19373_2,HD 19373,1.08,2.23,0.724,3.085,1.483,0.048,5,0.593,False
HD 201091_4,HD 201091,0.68,0.142,2.241,8.159,3.013,0.067,1,4.068,False
HD 202560_0,HD 202560,0.59,0.083,0.846,2.013,1.59,0.075,22,1.013,False
HD 202560_6,HD 202560,0.59,0.083,0.414,0.225,0.785,0.085,18,0.347,True
HD 20630_1,HD 20630,0.98,0.857,0.648,4.726,1.547,0.142,35,0.527,False
HD 209100_2,HD 209100,0.72,0.222,0.989,7.679,1.925,0.073,15,1.159,False
HD 209100_8,HD 209100,0.72,0.222,2.097,10.973,2.488,0.099,13,3.579,False
HD 209100_9,HD 209100,0.72,0.222,0.782,6.298,2.297,0.071,25,0.815,False
HD 212330 A_0,HD 212330 A,1.02,2.726,1.747,9.208,3.281,0.031,11,2.286,True
HD 219134_0,HD 219134,0.75,0.266,1.298,11.197,3.021,0.068,18,1.708,False
HD 219134_2,HD 219134,0.75,0.266,0.475,2.244,1.279,0.085,15,0.378,True
HD 219134_7,HD 219134,0.75,0.266,0.986,3.449,2.277,0.056,18,1.131,False
HD 26965 A_1,HD 26965 A,0.86,0.41,0.482,2.403,1.38,0.058,21,0.361,False
HD 33262 A_4,HD 33262 A,1.14,1.466,1.015,9.306,2.255,0.091,1,0.958,True
HD 37394_11,HD 37394,0.88,0.478,1.171,5.91,2.415,0.065,12,1.351,False
HD 53705_2,HD 53705,1.04,1.49,1.597,13.971,2.478,0.089,4,1.979,True
HD 72905_3,HD 72905,1.08,0.973,0.899,19.234,2.776,0.099,2,0.82,True
HD 88230_1,HD 88230,0.63,0.103,0.369,14.391,2.613,0.102,12,0.282,True
HD 88230_4,HD 88230,0.63,0.103,0.683,0.221,0.831,0.12,1,0.711,False
HD 95735_0,HD 95735,0.44,0.02,0.673,1.876,0.901,0.041,15,0.832,False
HD 95735_2,HD 95735,0.44,0.02,0.392,0.252,0.638,0.078,9,0.37,False
HD 95735_3,HD 95735,0.44,0.02,0.164,1.655,0.847,0.146,16,0.1,True
HD 95735_6,HD 95735,0.44,0.02,0.163,2.764,1.008,0.047,7,0.099,True
