PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 101501_7,HD 101501,0.94,0.608976,0.888,0.333,0.887,0.054,6,0.863,True
HD 10361_1,HD 10361,0.77,0.303879,0.761,2.715,1.303,0.025,8,0.757,True
HD 10780_0,HD 10780,0.9,0.515941,0.841,1.181,1.077,0.11,8,0.813,True
HD 128620_0,HD 128620,1.11,1.520898,1.567,0.738,0.945,0.074,4,1.862,True
HD 128620_1,HD 128620,1.11,1.520898,1.266,6.221,1.198,0.016,8,1.352,True
HD 128621_4,HD 128621,0.94,0.503037,1.135,1.502,1.179,0.055,8,1.247,True
HD 142373_1,HD 142373,1.08,3.136173,1.76,0.535,0.868,0.092,8,2.247,True
HD 17051_0,HD 17051,1.14,1.737401,1.593,0.166,0.8,0.055,6,1.883,True
HD 17206_0,HD 17206,1.21,2.616978,1.742,1.25,0.885,0.09,8,2.09,True
HD 17925_2,HD 17925,0.82,0.400959,0.735,0.945,0.938,0.099,2,0.696,True
HD 17925_3,HD 17925,0.82,0.400959,0.561,2.041,1.065,0.086,7,0.464,True
HD 187691 A_1,HD 187691 A,1.25,2.834654,2.61,1.386,1.018,0.091,5,3.771,True
HD 20807_1,HD 20807,1.07,1.016951,1.546,0.846,0.954,0.069,7,1.858,True
HD 209100_5,HD 209100,0.72,0.22182,0.635,0.965,0.931,0.076,8,0.596,True
HD 219134_2,HD 219134,0.75,0.265889,0.475,2.244,1.279,0.085,8,0.378,True
HD 23249_0,HD 23249,0.87,2.941034,2.38,0.586,0.804,0.039,6,3.936,True
HD 34411_1,HD 34411,1.08,1.731809,1.539,0.713,0.897,0.078,8,1.837,True
HD 3651 A_0,HD 3651 A,0.86,0.531986,0.818,0.195,1.086,0.09,8,0.798,True
HD 39091_5,HD 39091,1.08,1.533204,1.437,1.974,1.31,0.051,8,1.658,True
HD 46588 A_0,HD 46588 A,1.18,1.825997,1.961,5.123,1.375,0.092,8,2.528,True
HD 65907 A_1,HD 65907 A,1.11,1.290031,1.316,3.131,0.982,0.075,4,1.433,True
HD 65907 A_2,HD 65907 A,1.11,1.290031,1.009,5.136,1.202,0.058,8,0.962,True
HD 693_4,HD 693,1.18,2.997091,1.744,2.348,1.392,0.105,7,2.12,True
HD 95735_3,HD 95735,0.44,0.019934,0.164,1.655,0.847,0.146,8,0.1,True
HD 95735_6,HD 95735,0.44,0.019934,0.163,2.764,1.008,0.047,6,0.099,True
