iteration,chain,alpha,beta,gamma,freq,e_alpha,e_beta,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.1267291622714133,-0.6009433846436476,-0.33042911012771725,7.955503297504622,2.4955176566875914,5.548443881191574,-1927.5590801760757,7.0,1.0,0.8021119061110277,-1927.5590801760757,1931.3898445894738,0.1890449614541012,0.3423861362398384,3.0,0.0,0.507398042022209,0.507398042022209
502,1,-1.1657581693123689,-0.48373333078548697,0.5564890615308276,10.240032952930708,2.3680068909212215,5.370825042952857,-1927.3306202027577,7.0,1.0,0.9802982790507412,-1927.3306202027577,1929.1570871285287,-0.2095609369137037,-0.21515320534695093,3.0,0.0,0.507398042022209,0.507398042022209
503,1,-1.1215873588146614,-0.6359393849356358,0.02743871024185829,8.392564356086325,2.332548994319521,5.239282797705307,-1925.8045161355528,15.0,1.0,0.8984610790002674,-1925.8045161355528,1929.7871891961195,-0.09472082596244036,0.3028010583111609,4.0,0.0,0.507398042022209,0.507398042022209
504,1,-1.1425539594431129,-0.6075035123024417,-0.05915483797550891,8.77492054316435,2.270248901892945,5.101444874664183,-1925.7980487190152,7.0,1.0,0.9648126390028428,-1925.7980487190152,1927.254692275765,0.04252076420175399,0.10721181564122162,2.0,0.0,0.507398042022209,0.507398042022209
505,1,-1.1368711277004664,-0.5244318500806067,-0.03573277293315158,9.073597915576336,2.174407068777749,4.944946928531349,-1925.285252035963,7.0,1.0,0.9654581664615716,-1925.285252035963,1926.4459288604805,-0.1294929716345905,-0.1410732821586862,2.0,0.0,0.507398042022209,0.507398042022209
506,1,-1.1021744197644754,-0.6726199556471126,0.36739219796679556,8.412037886606253,2.3937872460567244,5.870883617183422,-1927.7734134633938,7.0,1.0,0.7358782850016917,-1927.7734134633938,1931.4395263033325,0.36126163146946055,0.5035767810259131,3.0,0.0,0.507398042022209,0.507398042022209
507,1,-1.1514324258373794,-0.6528661671667066,0.159661436073673,9.12016860541452,2.316037656243326,5.183257697780754,-1926.6563255924511,7.0,1.0,0.9038712925078054,-1926.6563255924511,1929.4443907770158,-0.1367257878550845,-0.34746078588500495,3.0,0.0,0.507398042022209,0.507398042022209
508,1,-1.1713368263815696,-0.4724688494523157,-0.16050845509111156,9.565330381761981,2.1872097821082948,5.806394959734466,-1929.8136576027096,7.0,1.0,0.4297831716810908,-1929.8136576027096,1931.8308756879735,1.5158729554948422,1.7075190296470737,3.0,0.0,0.507398042022209,0.507398042022209
509,1,-1.0971822082728409,-0.5824173443843641,0.27316220655486667,7.740958570122141,2.114694182933335,4.832809895788918,-1926.6020357011844,23.0,1.0,0.9309979338128644,-1926.6020357011844,1929.9489601648531,-1.5516296083255838,-1.5516296083255838,4.0,0.0,0.507398042022209,0.507398042022209
510,1,-1.1760131514920698,-0.5454357366395719,0.15464226027932426,10.598876034547555,2.0650203423794578,5.009997533308565,-1927.2447644807376,11.0,1.0,0.575285524575219,-1927.2447644807376,1930.293375060472,0.25272539308980413,1.3040590002424324,3.0,0.0,0.507398042022209,0.507398042022209
511,1,-1.151280509150105,-0.4649928991851393,0.0846851901118999,8.477114242344118,1.8250126036679892,4.478182961284801,-1929.2803951356275,7.0,1.0,0.7037969232536797,-1929.2803951356275,1930.8798164382388,0.43818900041446796,0.6811429154793132,3.0,0.0,0.507398042022209,0.507398042022209
512,1,-1.1227822035336459,-0.4497144854749031,0.46174678338595854,9.197612748716315,2.5769361763932386,5.900373110186142,-1929.3839547948583,7.0,1.0,0.9470530765041578,-1929.3839547948583,1931.6156371369664,-0.2867887078716649,-0.5185513369560795,3.0,0.0,0.507398042022209,0.507398042022209
513,1,-1.1433790826846213,-0.5010885309639939,0.06383413219202261,9.544203815874011,2.524553487911854,5.751549076074994,-1926.587205060998,15.0,1.0,0.9559812882231452,-1926.587205060998,1931.6584962097277,-0.40805811500058553,-0.41776526996568464,3.0,0.0,0.507398042022209,0.507398042022209
514,1,-1.1550507439313922,-0.48224780442760107,0.02978944034015285,9.667165532853149,1.8060629384320819,4.650320317779887,-1929.1867034360982,7.0,1.0,0.3847723302959336,-1929.1867034360982,1931.75935310612,0.8639421803900404,1.7009214087772762,3.0,0.0,0.507398042022209,0.507398042022209
515,1,-1.1090371494696445,-0.686207632041274,0.23989790656369436,8.234589844396595,2.666129977937501,5.754585549285104,-1929.0672883437935,15.0,1.0,0.9735949369324911,-1929.0672883437935,1932.0231145280966,-0.21351884801083543,-0.9158029926097697,3.0,0.0,0.507398042022209,0.507398042022209
