PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 100623 A_1,HD 100623 A,0.88,0.37,0.496,0.116,0.954,0.495,12,0.372,False
HD 100623 A_13,HD 100623 A,0.88,0.37,1.339,6.101,1.845,0.146,16,1.652,False
HD 100623 A_18,HD 100623 A,0.88,0.37,2.322,1.947,1.374,0.201,26,3.772,False
HD 100623 A_19,HD 100623 A,0.88,0.37,1.048,0.518,0.75,0.238,16,1.144,False
HD 100623 A_20,HD 100623 A,0.88,0.37,0.934,0.366,0.724,0.196,10,0.962,False
HD 100623 A_21,HD 100623 A,0.88,0.37,2.137,13.43,3.125,0.326,26,3.33,False
HD 100623 A_22,HD 100623 A,0.88,0.37,3.202,9.747,2.467,0.177,21,6.108,False
HD 100623 A_26,HD 100623 A,0.88,0.37,2.749,5.871,2.22,0.392,15,4.859,False
HD 100623 A_30,HD 100623 A,0.88,0.37,1.323,17.45,3.294,0.076,36,1.622,False
HD 100623 A_33,HD 100623 A,0.88,0.37,1.221,1.073,1.1,0.532,7,1.438,False
HD 100623 A_34,HD 100623 A,0.88,0.37,0.496,4.884,2.293,0.375,9,0.372,False
HD 100623 A_36,HD 100623 A,0.88,0.37,3.516,8.657,2.508,0.142,30,7.028,False
HD 100623 A_39,HD 100623 A,0.88,0.37,1.604,4.907,2.348,0.197,21,2.166,False
HD 100623 A_4,HD 100623 A,0.88,0.37,1.113,0.985,0.882,0.114,16,1.252,False
HD 100623 A_41,HD 100623 A,0.88,0.37,0.68,0.502,0.76,0.033,9,0.598,True
HD 100623 A_45,HD 100623 A,0.88,0.37,1.832,1.79,1.732,0.189,35,2.643,False
HD 100623 A_48,HD 100623 A,0.88,0.37,3.604,4.809,1.369,0.141,3,7.293,False
HD 100623 A_49,HD 100623 A,0.88,0.37,0.646,0.248,0.656,0.459,16,0.553,False
HD 100623 A_61,HD 100623 A,0.88,0.37,0.935,0.912,1.095,0.394,10,0.964,False
HD 100623 A_62,HD 100623 A,0.88,0.37,6.762,13.43,3.334,0.201,1,18.744,False
HD 100623 A_67,HD 100623 A,0.88,0.37,1.648,1.123,1.207,0.373,17,2.255,False
HD 100623 A_68,HD 100623 A,0.88,0.37,3.786,11.34,3.082,0.425,36,7.853,False
HD 100623 A_7,HD 100623 A,0.88,0.37,0.698,3.236,1.671,0.165,36,0.622,True
HD 100623 A_72,HD 100623 A,0.88,0.37,1.172,0.186,0.708,0.204,13,1.353,False
HD 100623 A_76,HD 100623 A,0.88,0.37,1.193,3.723,1.322,0.587,28,1.389,False
HD 100623 A_9,HD 100623 A,0.88,0.37,3.006,1.939,1.259,0.48,4,5.556,False
HD 101501_0,HD 101501,0.94,0.609,1.142,4.517,1.549,0.193,22,1.259,True
HD 101501_1,HD 101501,0.94,0.609,2.757,0.344,0.983,0.251,15,4.722,False
HD 101501_10,HD 101501,0.94,0.609,5.366,7.969,2.309,0.245,10,12.821,False
HD 101501_15,HD 101501,0.94,0.609,2.108,17.9,3.291,0.444,29,3.157,False
HD 101501_2,HD 101501,0.94,0.609,1.595,2.852,1.334,0.467,14,2.078,False
HD 101501_20,HD 101501,0.94,0.609,1.517,4.145,1.592,0.342,31,1.927,False
HD 101501_27,HD 101501,0.94,0.609,2.214,10.22,2.684,0.662,15,3.398,False
HD 101501_28,HD 101501,0.94,0.609,2.393,12.66,3.031,0.224,30,3.818,False
HD 101501_31,HD 101501,0.94,0.609,0.716,0.245,0.6,0.552,1,0.625,False
HD 101501_32,HD 101501,0.94,0.609,2.052,3.416,1.884,0.091,32,3.032,False
HD 101501_33,HD 101501,0.94,0.609,1.474,0.661,0.694,0.278,6,1.846,False
HD 101501_37,HD 101501,0.94,0.609,2.0,4.737,1.945,0.308,11,2.917,False
HD 101501_47,HD 101501,0.94,0.609,0.597,0.782,0.718,0.183,15,0.476,False
HD 101501_48,HD 101501,0.94,0.609,1.147,2.893,1.726,0.075,25,1.267,True
HD 101501_49,HD 101501,0.94,0.609,0.488,1.856,1.539,0.348,2,0.352,False
HD 101501_50,HD 101501,0.94,0.609,2.364,1.689,1.693,0.159,30,3.749,False
HD 101501_53,HD 101501,0.94,0.609,0.58,0.38,0.771,0.414,6,0.456,False
HD 101501_57,HD 101501,0.94,0.609,0.587,4.546,1.945,0.333,8,0.464,False
HD 101501_61,HD 101501,0.94,0.609,0.903,0.869,0.793,0.446,9,0.885,False
HD 101501_63,HD 101501,0.94,0.609,1.294,0.817,0.681,0.238,18,1.518,False
HD 102365_10,HD 102365,1.02,0.844,2.795,4.264,1.554,0.13,3,4.627,False
HD 102365_12,HD 102365,1.02,0.844,1.271,0.956,1.052,0.203,11,1.419,True
HD 102365_14,HD 102365,1.02,0.844,1.895,0.439,0.968,0.339,13,2.583,False
HD 102365_17,HD 102365,1.02,0.844,2.131,8.053,1.957,0.468,10,3.08,False
HD 102365_22,HD 102365,1.02,0.844,2.298,0.554,0.698,0.779,6,3.449,False
HD 102365_24,HD 102365,1.02,0.844,2.805,6.246,1.91,0.408,10,4.652,False
HD 102365_25,HD 102365,1.02,0.844,1.576,13.49,3.152,0.267,30,1.959,False
HD 102365_28,HD 102365,1.02,0.844,1.311,8.127,1.692,0.465,24,1.486,False
HD 102365_29,HD 102365,1.02,0.844,0.681,4.322,1.44,0.092,22,0.556,False
HD 102365_30,HD 102365,1.02,0.844,2.019,1.411,1.128,0.464,5,2.841,False
HD 102365_31,HD 102365,1.02,0.844,2.768,5.24,2.268,0.368,36,4.56,False
HD 102365_33,HD 102365,1.02,0.844,1.989,3.212,1.508,0.474,10,2.777,False
HD 102365_34,HD 102365,1.02,0.844,3.074,16.77,3.209,0.186,15,5.336,False
HD 102365_36,HD 102365,1.02,0.844,2.254,2.162,1.148,0.383,7,3.351,False
HD 102365_44,HD 102365,1.02,0.844,0.604,0.125,0.625,0.348,2,0.465,False
HD 102365_47,HD 102365,1.02,0.844,1.893,3.335,1.549,0.181,26,2.579,False
HD 102365_48,HD 102365,1.02,0.844,1.782,8.583,2.45,0.109,21,2.355,False
HD 102365_49,HD 102365,1.02,0.844,1.334,2.529,1.228,0.505,3,1.526,False
HD 102365_53,HD 102365,1.02,0.844,1.855,2.018,1.281,0.211,18,2.502,False
HD 102365_54,HD 102365,1.02,0.844,2.84,2.876,1.657,0.312,8,4.739,False
HD 102365_6,HD 102365,1.02,0.844,2.083,6.291,1.636,0.207,3,2.977,False
HD 102365_63,HD 102365,1.02,0.844,0.603,2.734,1.648,0.144,15,0.464,False
