PlanetID,HDName,Spec,d_pc,L_sol,M_sol,Rp_Rearth,sma_AU,P_yr,ecc,inc_rad,aop_rad,pan_rad,epp_yr,Mp_Mearth,albedo,HZ
HD 72905_0,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.471,3.115,5.289,0.023,1.447,5.813,1.034,2034.147,10.598,0.297,False
HD 72905_1,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.756,0.898,0.818,0.059,0.383,3.651,0.282,2034.590,2.578,0.382,True
HD 72905_2,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.578,0.595,0.441,0.060,1.162,2.179,2.734,2034.933,0.130,0.315,False
HD 72905_3,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,3.213,2.293,3.340,0.029,1.265,3.713,6.235,2032.674,7.863,0.405,False
HD 72905_4,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.005,0.274,0.138,0.152,1.060,0.143,5.603,2034.939,5.956,0.414,False
HD 72905_5,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.113,0.386,0.230,0.047,0.846,6.023,4.704,2034.912,2.240,0.269,False
HD 72905_6,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.611,0.104,0.032,0.094,0.299,3.030,5.597,2034.990,0.216,0.302,False
HD 72905_7,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.082,2.985,4.962,0.039,1.280,4.918,5.614,2031.872,1.084,0.373,False
HD 72905_8,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.934,2.186,3.111,0.062,0.390,0.520,3.260,2033.874,0.930,0.351,False
HD 72905_9,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.875,2.434,3.653,0.026,1.546,3.058,1.985,2034.680,10.686,0.283,False
HD 72905_10,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.575,2.941,4.853,0.030,0.982,3.083,4.851,2034.427,4.119,0.366,False
HD 72905_11,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.286,1.165,1.210,0.009,0.884,5.893,4.157,2033.837,11.951,0.185,True
HD 72905_12,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.068,1.661,2.060,0.110,1.465,3.592,2.348,2033.128,1.023,0.324,False
HD 72905_13,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.724,0.274,0.138,0.051,1.430,2.975,0.594,2034.904,0.538,0.411,False
HD 72905_14,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.320,0.234,0.109,0.072,1.138,1.677,4.692,2034.971,2.413,0.406,False
HD 72905_15,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.549,2.208,3.156,0.080,0.261,2.083,1.649,2031.941,0.064,0.370,False
HD 72905_16,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.310,1.215,1.288,0.037,0.932,3.271,5.886,2033.997,2.249,0.423,True
HD 72905_17,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.537,1.644,2.028,0.148,0.368,2.758,1.514,2033.546,2.896,0.390,False
HD 72905_18,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.992,2.830,4.582,0.064,0.636,0.136,0.771,2032.941,7.119,0.324,False
HD 72905_19,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.907,2.012,2.747,0.024,1.084,5.192,5.222,2034.252,0.662,0.385,False
HD 72905_20,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,3.177,1.586,1.922,0.028,0.668,5.631,0.963,2034.815,14.106,0.364,True
HD 72905_21,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.666,1.614,1.973,0.061,1.553,0.881,1.126,2033.220,7.928,0.319,True
HD 72905_22,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.079,0.637,0.490,0.031,1.461,3.481,3.766,2034.777,4.943,0.411,False
HD 72905_23,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.685,0.127,0.043,0.049,0.593,0.682,5.495,2034.991,0.143,0.365,False
HD 72905_24,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.116,1.077,1.076,0.074,0.649,4.224,1.234,2034.671,1.414,0.358,True
HD 72905_25,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.532,0.417,0.259,0.018,1.336,1.767,1.950,2034.850,0.092,0.333,False
HD 72905_26,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.639,0.972,0.922,0.052,1.011,4.143,4.885,2034.837,0.118,0.428,True
HD 72905_27,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.705,3.485,6.260,0.108,0.920,4.568,6.106,2029.637,2.825,0.359,False
HD 72905_28,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.937,0.460,0.300,0.024,0.520,4.830,3.146,2034.773,7.420,0.346,False
HD 72905_29,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,3.154,0.158,0.060,0.085,0.923,0.677,0.904,2034.957,13.817,0.194,False
HD 72905_30,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.862,0.576,0.421,0.019,1.146,5.755,0.088,2034.818,5.858,0.349,False
HD 72905_31,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.934,0.609,0.457,0.141,1.187,1.446,1.443,2034.713,2.484,0.394,False
HD 72905_32,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.122,2.169,3.074,0.043,1.131,0.235,0.828,2033.204,1.662,0.385,False
HD 72905_33,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.679,1.603,1.953,0.043,0.861,3.486,4.258,2033.731,0.184,0.388,True
HD 72905_34,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.613,2.963,4.909,0.090,0.521,2.331,0.765,2034.585,0.174,0.389,False
HD 72905_35,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.135,2.183,3.104,0.130,1.100,5.214,3.181,2033.709,2.175,0.474,False
HD 72905_36,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.724,0.964,0.911,0.154,1.320,5.078,4.362,2034.962,0.235,0.347,True
HD 72905_37,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.660,3.183,5.465,0.101,1.332,1.993,3.651,2032.300,3.807,0.341,False
HD 72905_38,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.056,0.322,0.175,0.113,0.729,5.987,1.255,2034.942,2.305,0.326,False
HD 72905_39,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.335,0.119,0.039,0.090,0.615,1.828,5.052,2034.994,5.738,0.398,False
HD 72905_40,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,1.766,0.198,0.085,0.038,1.465,3.236,4.495,2034.991,4.068,0.423,False
HD 72905_41,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,0.841,2.544,3.904,0.093,1.504,1.608,4.643,2032.706,0.640,0.361,False
HD 72905_42,HD 72905,G0.5V Fe-0.5,14.439,0.973,1.080,2.333,1.177,1.228,0.035,0.934,5.881,0.823,2034.790,3.490,0.325,True
HD 82885 A_0,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.959,1.568,2.025,0.033,1.018,1.701,4.411,2034.071,0.570,0.326,False
HD 82885 A_1,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.562,1.604,2.095,0.079,1.406,4.460,4.071,2034.073,2.872,0.400,False
HD 82885 A_2,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.775,1.139,1.255,0.139,1.404,6.159,4.099,2034.621,0.170,0.404,True
HD 82885 A_3,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.624,1.375,1.662,0.035,0.580,3.842,1.987,2033.473,0.081,0.394,True
HD 82885 A_4,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.140,2.695,4.564,0.057,0.148,0.342,4.948,2031.434,1.704,0.334,False
HD 82885 A_5,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.017,2.935,5.187,0.086,0.981,3.872,3.450,2034.426,0.907,0.379,False
HD 82885 A_6,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.731,1.245,1.432,0.065,0.575,0.266,2.711,2033.572,0.378,0.373,True
HD 82885 A_7,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.929,1.738,2.363,0.020,0.139,5.555,3.933,2032.922,0.638,0.378,False
HD 82885 A_8,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.927,3.945,8.081,0.176,1.429,4.458,2.266,2032.706,1.889,0.411,False
HD 82885 A_9,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.864,0.231,0.114,0.076,1.106,1.088,3.222,2034.904,0.549,0.378,False
HD 82885 A_10,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.949,0.227,0.111,0.047,1.167,0.576,4.629,2034.988,0.839,0.401,False
HD 82885 A_11,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.715,0.186,0.083,0.061,1.491,1.153,5.569,2034.917,6.418,0.370,False
HD 82885 A_12,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.818,2.048,3.023,0.015,0.715,6.158,5.787,2032.987,0.885,0.381,False
HD 82885 A_13,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,3.022,0.963,0.975,0.077,1.122,2.881,3.164,2034.366,6.552,0.399,True
HD 82885 A_14,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,2.808,2.765,4.741,0.111,1.082,4.927,3.269,2034.571,13.703,0.249,False
HD 82885 A_15,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.146,2.124,3.192,0.077,1.420,3.999,5.026,2032.136,1.084,0.294,False
HD 82885 A_16,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.865,0.691,0.592,0.105,1.389,3.597,1.976,2034.983,0.529,0.351,False
HD 82885 A_17,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.272,3.676,7.270,0.071,0.434,0.912,5.261,2033.249,1.345,0.343,False
HD 82885 A_18,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,2.417,2.686,4.540,0.104,1.526,5.944,3.105,2034.351,2.956,0.335,False
HD 82885 A_19,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.603,0.523,0.390,0.073,1.336,1.893,0.728,2034.697,4.963,0.353,False
HD 82885 A_20,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,2.197,0.783,0.714,0.087,1.274,3.632,0.453,2034.858,6.607,0.442,True
HD 82885 A_21,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.266,0.637,0.524,0.120,1.058,4.397,5.290,2034.523,2.463,0.324,False
HD 82885 A_22,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.541,0.291,0.162,0.181,0.944,4.079,0.349,2034.894,4.347,0.415,False
HD 82885 A_23,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.806,0.274,0.148,0.063,1.055,5.910,1.763,2034.995,0.466,0.283,False
HD 82885 A_24,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.897,3.986,8.207,0.160,1.487,0.933,2.099,2034.955,2.908,0.350,False
HD 82885 A_25,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.694,1.033,1.083,0.029,1.325,3.194,1.087,2034.944,0.277,0.375,True
HD 82885 A_26,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.747,0.843,0.799,0.082,0.567,2.539,1.972,2034.516,3.320,0.396,True
HD 82885 A_27,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,2.483,2.475,4.015,0.072,0.879,2.979,4.666,2031.782,9.959,0.403,False
HD 82885 A_28,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.616,1.512,1.917,0.080,0.864,0.749,0.092,2034.543,0.202,0.407,False
HD 82885 A_29,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.485,3.986,8.208,0.117,0.836,0.843,5.197,2028.028,6.689,0.350,False
HD 82885 A_30,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.579,2.805,4.845,0.061,0.703,1.747,5.382,2034.723,0.093,0.344,False
HD 82885 A_31,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.862,1.193,1.343,0.177,1.513,1.915,2.339,2033.924,2.383,0.410,True
HD 82885 A_32,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.569,0.821,0.767,0.077,1.195,2.689,0.965,2034.288,0.112,0.357,True
HD 82885 A_33,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,2.935,4.424,9.597,0.104,1.001,3.839,3.775,2027.590,6.286,0.303,False
HD 82885 A_34,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.621,2.400,3.836,0.081,1.226,3.987,0.752,2032.322,0.154,0.310,False
HD 82885 A_35,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,3.092,4.114,8.605,0.074,0.565,2.587,2.293,2027.789,23.781,0.527,False
HD 82885 A_36,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,2.181,0.229,0.113,0.065,1.067,2.568,6.022,2034.995,2.836,0.321,False
HD 82885 A_37,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.425,3.306,6.200,0.013,0.694,1.367,6.255,2033.749,1.820,0.392,False
HD 82885 A_38,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,2.098,1.934,2.774,0.171,0.551,3.696,4.851,2034.653,8.402,0.374,False
HD 82885 A_39,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,2.154,0.234,0.117,0.088,1.042,1.992,1.954,2034.941,7.119,0.402,False
HD 82885 A_40,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,3.003,1.681,2.248,0.143,0.429,0.227,4.321,2033.325,17.427,0.150,False
HD 82885 A_41,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.758,2.210,3.388,0.173,0.943,2.629,4.432,2032.865,0.154,0.346,False
HD 82885 A_42,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.415,0.104,0.034,0.107,0.554,2.979,2.437,2034.971,2.611,0.375,False
HD 82885 A_43,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.579,1.094,1.181,0.060,1.223,1.417,4.027,2034.817,0.081,0.398,True
HD 82885 A_44,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,1.490,3.121,5.687,0.069,1.049,3.597,0.067,2030.822,1.913,0.352,False
HD 82885 A_45,HD 82885 A,G9-IV-V Hdel1,11.235,0.784,0.940,0.658,0.586,0.463,0.027,1.011,3.555,1.314,2034.911,0.344,0.390,False
HD 84117_0,HD 84117,F9V,14.951,1.977,1.140,2.862,0.987,0.919,0.033,1.553,2.710,5.109,2034.597,4.223,0.334,False
HD 84117_1,HD 84117,F9V,14.951,1.977,1.140,2.285,0.274,0.134,0.127,0.933,4.905,2.001,2034.936,6.312,0.349,False
HD 84117_2,HD 84117,F9V,14.951,1.977,1.140,0.526,1.723,2.118,0.064,1.337,5.285,5.022,2032.893,0.083,0.348,True
