PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs,HZ
HD 142860_0,HD 142860,0.405,0.081,2.385,3.49,11.254,1.25,3.039,0.025,117.244,0.433,0.036,0,0,1,2035.0,False
HD 142860_2,HD 142860,3.184,0.073,1.146,2.096,11.254,1.25,3.039,0.265,236.179,3.137,0.49,0,0,1,2035.0,False
HD 142860_3,HD 142860,0.465,0.068,1.963,5.667,11.254,1.25,3.039,0.039,106.898,0.449,0.457,0,0,1,2035.0,False
HD 142860_5,HD 142860,0.92,0.074,2.443,2.622,11.254,1.25,3.039,0.061,174.541,0.853,0.078,1,1,1,2035.0,False
HD 142860_6,HD 142860,0.627,0.092,3.102,13.817,11.254,1.25,3.039,0.03,306.15,0.684,0.014,0,0,1,2035.0,False
HD 30652_0,HD 30652,0.357,0.032,0.524,0.114,8.068,1.25,2.71,0.041,309.063,0.365,0.142,0,0,1,2035.001,False
HD 30652_1,HD 30652,3.379,0.099,2.314,3.76,8.068,1.25,2.71,0.317,165.469,3.373,0.063,0,0,1,2035.001,False
HD 30652_2,HD 30652,1.418,0.081,1.563,2.688,8.068,1.25,2.71,0.12,276.927,1.446,0.04,0,0,1,2035.001,True
HD 30652_3,HD 30652,3.27,0.133,2.129,4.102,8.068,1.25,2.71,0.406,196.696,3.337,0.229,0,0,1,2035.001,False
HD 30652_4,HD 30652,2.754,0.119,2.49,10.423,8.068,1.25,2.71,0.299,73.437,3.075,0.071,0,0,1,2035.001,False
HD 22484_0,HD 22484,0.838,0.146,1.142,1.075,13.92,1.14,3.068,0.059,200.996,0.825,0.368,0,0,1,2035.003,False
HD 22484_1,HD 22484,1.12,0.109,1.996,10.252,13.92,1.14,3.068,0.067,138.922,1.184,0.074,0,0,1,2035.003,False
HD 22484_2,HD 22484,0.469,0.117,1.765,4.24,13.92,1.14,3.068,0.027,20.505,0.502,0.057,0,0,1,2035.003,False
HD 22484_5,HD 22484,4.456,0.081,0.516,0.082,13.92,1.14,3.068,0.166,55.738,4.138,0.021,0,0,1,2035.003,False
HD 22484_7,HD 22484,3.201,0.074,0.943,0.772,13.92,1.14,3.068,0.214,224.243,2.978,0.341,0,0,1,2035.003,False
HD 128167_0,HD 128167,1.283,0.14,1.15,1.754,15.756,1.39,3.182,0.066,276.627,1.108,0.52,1,1,1,2035.004,False
HD 128167_2,HD 128167,3.433,0.063,1.328,4.136,15.756,1.39,3.182,0.184,190.689,3.265,0.122,0,0,1,2035.004,False
HD 128167_3,HD 128167,4.878,0.117,2.132,7.451,15.756,1.39,3.182,0.343,353.809,5.403,0.34,0,0,1,2035.004,False
HD 128167_4,HD 128167,1.323,0.044,1.923,7.575,15.756,1.39,3.182,0.065,28.377,1.374,0.059,0,0,1,2035.004,False
HD 142373_0,HD 142373,1.268,0.168,0.757,0.538,15.898,1.08,3.136,0.066,53.038,1.481,0.755,1,1,1,2035.005,False
HD 142373_1,HD 142373,1.76,0.092,0.868,0.821,15.898,1.08,3.136,0.096,61.862,1.625,0.16,0,0,1,2035.005,True
HD 142373_2,HD 142373,0.834,0.129,2.923,3.951,15.898,1.08,3.136,0.045,307.264,0.731,0.425,0,0,1,2035.005,False
HD 142373_4,HD 142373,1.161,0.006,1.265,1.173,15.898,1.08,3.136,0.072,270.229,1.154,0.348,1,1,1,2035.005,False
HD 142373_6,HD 142373,4.705,0.105,0.947,0.705,15.898,1.08,3.136,0.312,289.876,4.974,0.359,0,0,1,2035.005,False
