PlanetID,period,ecc,StarName,Rp_REarth,M_sol,PeriodSigma,EccSigma,TruePeriod,TrueEcc,MeasuredPeriodCenter,MeasuredEccCenter,SigmaInBinWidths,InterimPrior
HD 100623 A_0,8.573,0.105,HD 100623 A,2.503,0.88,0.0,0.0,8.573,0.105,8.573,0.105,0.0,likelihood_samples
HD 101501_7,0.863,0.054,HD 101501,0.887,0.94,0.0,0.0,0.863,0.054,0.863,0.054,0.0,likelihood_samples
HD 102365_0,1.227,0.024,HD 102365,2.235,1.02,0.0,0.0,1.227,0.024,1.227,0.024,0.0,likelihood_samples
HD 10360_1,0.473,0.036,HD 10360,0.525,0.78,0.0,0.0,0.473,0.036,0.473,0.036,0.0,likelihood_samples
HD 10361_1,0.757,0.025,HD 10361,1.303,0.77,0.0,0.0,0.757,0.025,0.757,0.025,0.0,likelihood_samples
HD 10361_2,1.114,0.066,HD 10361,0.785,0.77,0.0,0.0,1.114,0.066,1.114,0.066,0.0,likelihood_samples
HD 10780_0,0.813,0.11,HD 10780,1.077,0.9,0.0,0.0,0.813,0.11,0.813,0.11,0.0,likelihood_samples
HD 10780_3,3.558,0.098,HD 10780,1.348,0.9,0.0,0.0,3.558,0.098,3.558,0.098,0.0,likelihood_samples
HD 109358_0,0.446,0.064,HD 109358,0.661,1.08,0.0,0.0,0.446,0.064,0.446,0.064,0.0,likelihood_samples
HD 114710_4,0.758,0.053,HD 114710,0.898,1.11,0.0,0.0,0.758,0.053,0.758,0.053,0.0,likelihood_samples
HD 115617_1,0.673,0.09,HD 115617,2.931,0.97,0.0,0.0,0.673,0.09,0.673,0.09,0.0,likelihood_samples
HD 115617_2,0.497,0.047,HD 115617,0.562,0.97,0.0,0.0,0.497,0.047,0.497,0.047,0.0,likelihood_samples
HD 128167_0,1.233,0.14,HD 128167,1.15,1.39,0.0,0.0,1.233,0.14,1.233,0.14,0.0,likelihood_samples
HD 128167_4,1.291,0.044,HD 128167,1.923,1.39,0.0,0.0,1.291,0.044,1.291,0.044,0.0,likelihood_samples
HD 128620_0,1.862,0.074,HD 128620,0.945,1.11,0.0,0.0,1.862,0.074,1.862,0.074,0.0,likelihood_samples
HD 128620_1,1.352,0.016,HD 128620,1.198,1.11,0.0,0.0,1.352,0.016,1.352,0.016,0.0,likelihood_samples
HD 128621_0,0.079,0.076,HD 128621,0.591,0.94,0.0,0.0,0.079,0.076,0.079,0.076,0.0,likelihood_samples
HD 128621_4,1.247,0.055,HD 128621,1.179,0.94,0.0,0.0,1.247,0.055,1.247,0.055,0.0,likelihood_samples
HD 131156 A_0,0.904,0.01,HD 131156 A,2.426,0.96,0.0,0.0,0.904,0.01,0.904,0.01,0.0,likelihood_samples
HD 131156 A_1,1.173,0.147,HD 131156 A,1.932,0.96,0.0,0.0,1.173,0.147,1.173,0.147,0.0,likelihood_samples
HD 131977_0,3.622,0.033,HD 131977,1.305,0.72,0.0,0.0,3.622,0.033,3.622,0.033,0.0,likelihood_samples
HD 136352_3,7.259,0.069,HD 136352,2.041,1.02,0.0,0.0,7.259,0.069,7.259,0.069,0.0,likelihood_samples
HD 141004_0,4.083,0.092,HD 141004,2.901,1.09,0.0,0.0,4.083,0.092,4.083,0.092,0.0,likelihood_samples
HD 142373_0,1.374,0.168,HD 142373,0.757,1.08,0.0,0.0,1.374,0.168,1.374,0.168,0.0,likelihood_samples
