PlanetID,StarName,M_sol,L_sol,SMA_AU,Mp_MEarth,Rp_REarth,ecc,NDet,P_yr,HZ
HD 100623 A_0,HD 100623 A,0.88,0.37,4.014,3.348,2.503,0.105,1,8.573,False
HD 101501_7,HD 101501,0.94,0.609,0.888,0.375,0.887,0.054,3,0.863,True
HD 102365_0,HD 102365,1.02,0.844,1.154,6.312,2.235,0.024,8,1.227,True
HD 10360_1,HD 10360,0.78,0.345,0.559,0.157,0.525,0.036,2,0.473,True
HD 10361_1,HD 10361,0.77,0.304,0.761,1.111,1.303,0.025,5,0.757,True
HD 10361_2,HD 10361,0.77,0.304,0.985,0.305,0.785,0.066,3,1.114,False
HD 10780_0,HD 10780,0.9,0.516,0.841,1.419,1.077,0.11,7,0.813,True
HD 10780_3,HD 10780,0.9,0.516,2.25,1.373,1.348,0.098,1,3.558,False
HD 109358_0,HD 109358,1.08,1.151,0.599,0.181,0.661,0.064,8,0.446,False
HD 114710_4,HD 114710,1.11,1.357,0.861,0.364,0.898,0.053,6,0.758,False
HD 115617_1,HD 115617,0.97,0.825,0.76,3.775,2.931,0.09,5,0.673,True
HD 115617_2,HD 115617,0.97,0.825,0.621,0.132,0.562,0.047,1,0.497,False
HD 128167_0,HD 128167,1.39,3.182,1.283,1.754,1.15,0.14,3,1.233,False
HD 128167_4,HD 128167,1.39,3.182,1.323,7.575,1.923,0.044,3,1.291,False
HD 128620_0,HD 128620,1.11,1.521,1.567,0.99,0.945,0.074,2,1.862,True
HD 128620_1,HD 128620,1.11,1.521,1.266,1.075,1.198,0.016,6,1.352,True
HD 128621_0,HD 128621,0.94,0.503,0.181,0.143,0.591,0.076,8,0.079,False
HD 128621_4,HD 128621,0.94,0.503,1.135,6.717,1.179,0.055,4,1.247,True
HD 131156 A_0,HD 131156 A,0.96,0.553,0.922,5.907,2.426,0.01,8,0.904,True
HD 131156 A_1,HD 131156 A,0.96,0.553,1.097,11.706,1.932,0.147,7,1.173,True
HD 131977_0,HD 131977,0.72,0.223,2.114,2.166,1.305,0.033,4,3.622,False
HD 136352_3,HD 136352,1.02,1.029,3.774,2.393,2.041,0.069,4,7.259,False
HD 141004_0,HD 141004,1.09,2.004,2.629,9.32,2.901,0.092,1,4.083,False
HD 142373_0,HD 142373,1.08,3.136,1.268,0.538,0.757,0.168,2,1.374,False
HD 142373_4,HD 142373,1.08,3.136,1.161,1.173,1.265,0.006,4,1.204,False
HD 142373_7,HD 142373,1.08,3.136,1.878,16.581,2.611,0.051,3,2.476,True
HD 142373_8,HD 142373,1.08,3.136,3.092,4.531,1.805,0.053,8,5.232,False
HD 142860_5,HD 142860,1.25,3.039,0.92,2.622,2.443,0.074,5,0.789,False
HD 143761_4,HD 143761,0.97,1.812,1.096,2.884,0.808,0.157,2,1.165,False
HD 147513_6,HD 147513,1.07,1.001,1.743,1.351,1.796,0.075,4,2.225,False
HD 149661_5,HD 149661,0.87,0.462,3.155,10.042,2.936,0.051,1,6.008,False
HD 155885_0,HD 155885,0.85,0.332,0.424,4.862,1.08,0.016,3,0.299,False
HD 155886_1,HD 155886,0.85,0.327,0.511,0.247,0.698,0.064,8,0.396,True
HD 155886_3,HD 155886,0.85,0.327,1.253,5.37,2.915,0.044,8,1.521,False
HD 155886_7,HD 155886,0.85,0.327,0.59,4.512,3.352,0.079,8,0.492,True
HD 155886_8,HD 155886,0.85,0.327,3.879,17.572,2.635,0.087,3,8.286,False
HD 156026_0,HD 156026,0.68,0.158,3.18,12.457,3.171,0.093,8,6.877,False
HD 156026_1,HD 156026,0.68,0.158,0.564,0.104,0.509,0.081,4,0.514,True
HD 156026_2,HD 156026,0.68,0.158,0.423,0.161,0.607,0.044,4,0.334,True
HD 156026_3,HD 156026,0.68,0.158,1.001,6.886,2.318,0.06,6,1.214,False
HD 156026_5,HD 156026,0.68,0.158,1.693,18.392,2.972,0.124,8,2.671,False
HD 1581_1,HD 1581,1.11,1.262,1.541,4.55,2.633,0.046,6,1.816,True
HD 1581_3,HD 1581,1.11,1.262,1.491,9.091,2.76,0.126,4,1.728,True
HD 165341 A_3,HD 165341 A,0.88,0.532,0.642,4.051,1.615,0.027,7,0.548,True
HD 165341 B_4,HD 165341 B,0.78,0.164,0.76,2.589,1.137,0.117,5,0.75,False
HD 165499_4,HD 165499,1.08,1.731,1.569,30.496,3.377,0.062,3,1.891,True
HD 166_0,HD 166,0.94,0.647,1.592,1.198,1.08,0.09,3,2.072,False
HD 16895 A_0,HD 16895 A,1.21,2.246,3.595,6.26,2.816,0.047,2,6.197,False
HD 16895 A_5,HD 16895 A,1.21,2.246,1.554,6.056,3.144,0.05,7,1.761,True
HD 17206_1,HD 17206,1.21,2.617,0.879,4.42,2.253,0.039,3,0.749,False
HD 17925_2,HD 17925,0.82,0.401,0.735,0.418,0.938,0.099,2,0.696,True
HD 17925_4,HD 17925,0.82,0.401,0.848,9.166,1.424,0.062,3,0.862,True
HD 185144_1,HD 185144,0.87,0.434,0.747,0.055,0.5,0.07,2,0.692,True
HD 185144_3,HD 185144,0.87,0.434,0.688,4.531,2.317,0.135,7,0.612,True
HD 187691 A_3,HD 187691 A,1.25,2.835,2.018,7.67,2.654,0.038,5,2.564,True
HD 190248_1,HD 190248,0.94,1.25,1.11,1.805,1.408,0.055,5,1.206,True
HD 190360_0,HD 190360,0.96,1.165,0.922,3.607,1.79,0.17,2,0.904,False
HD 190360_3,HD 190360,0.96,1.165,3.632,14.342,2.733,0.139,1,7.065,False
HD 192310_1,HD 192310,0.77,0.404,1.472,38.464,2.73,0.082,5,2.035,False
HD 192310_2,HD 192310,0.77,0.404,0.631,7.928,2.544,0.109,6,0.571,True
HD 19373_0,HD 19373,1.08,2.23,0.74,7.638,3.212,0.034,4,0.613,False
HD 19373_2,HD 19373,1.08,2.23,0.724,3.887,1.483,0.048,4,0.593,False
HD 19373_3,HD 19373,1.08,2.23,0.676,3.107,1.037,0.061,3,0.535,False
HD 19373_7,HD 19373,1.08,2.23,2.87,4.984,1.622,0.048,6,4.679,False
HD 201091_1,HD 201091,0.68,0.142,1.051,0.561,0.699,0.108,4,1.307,False
HD 201091_4,HD 201091,0.68,0.142,2.241,5.907,3.013,0.067,5,4.068,False
HD 201092_1,HD 201092,0.63,0.078,2.708,8.333,2.37,0.059,4,5.614,False
HD 202560_0,HD 202560,0.59,0.083,0.846,2.403,1.59,0.075,6,1.013,False
HD 202560_1,HD 202560,0.59,0.083,0.552,0.254,0.674,0.052,8,0.534,False
HD 202560_3,HD 202560,0.59,0.083,0.867,2.676,1.589,0.117,8,1.051,False
HD 202560_6,HD 202560,0.59,0.083,0.414,0.353,0.785,0.085,8,0.347,True
HD 203608_0,HD 203608,1.14,1.466,2.203,8.196,1.79,0.092,3,3.062,False
HD 203608_6,HD 203608,1.14,1.466,0.526,0.835,0.985,0.072,1,0.357,False
HD 20630_1,HD 20630,0.98,0.857,0.648,2.557,1.547,0.142,8,0.527,False
HD 20766_0,HD 20766,1.01,0.794,1.336,2.568,1.674,0.161,4,1.537,True
HD 20766_4,HD 20766,1.01,0.794,1.915,0.627,0.912,0.031,2,2.637,False
