iteration,chain,alpha,beta,gamma,freq,e_alpha,e_beta,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.1460623563126866,-0.674354112610791,-1.1640065661092933,3.2267965486033985,3.5129282403406554,41.612339878026,-901.0446752741091,15.0,1.0,0.9625886461321583,-901.0446752741091,902.9703929180451,-0.08608394932866759,-0.1532646799879558,4.0,0.0,0.3689401443691606,0.3689401443691606
502,1,-1.0972381257959594,-0.8641321641614681,-0.30055413484378946,3.804045312305636,3.901171874437328,47.37220463379258,-900.2481235051963,7.0,1.0,0.8727311320244368,-900.2481235051963,903.6973495914541,-0.053776987700643986,0.2982858201318095,3.0,0.0,0.3689401443691606,0.3689401443691606
503,1,-1.3971745110944394,-0.885762398630316,0.06958456411565805,4.0339160489708314,3.40632602177482,41.09387394375386,-903.1899924034063,15.0,1.0,0.8877349379198123,-903.1899924034063,905.3886908652825,0.17436075085458924,0.20004459398865038,3.0,0.0,0.3689401443691606,0.3689401443691606
504,1,-1.3838671869040553,-0.8414921967981748,0.04199670508692854,4.091091569849438,3.496742348916111,40.94868053788462,-902.259285363365,7.0,1.0,0.8642240040647826,-902.259285363365,903.7743659036361,-0.08487044986623005,0.33864533553094134,3.0,0.0,0.3689401443691606,0.3689401443691606
505,1,-1.3761177642531734,-0.6920489194294426,-1.1054555034665157,3.135917822977068,3.7491184347591675,47.15712692719222,-901.6507814570919,15.0,1.0,0.833987679899505,-901.6507814570919,904.6197277979388,0.252494411024486,0.36599255960163646,3.0,0.0,0.3689401443691606,0.3689401443691606
506,1,-1.292519944269955,-0.8193949945936776,-0.005868434318367477,3.793824542776884,3.4552297849219085,42.69750667699574,-901.751069351512,15.0,1.0,0.9983444385557616,-901.751069351512,903.0732824489306,-0.07018797972909852,-0.2320488497759925,4.0,0.0,0.3689401443691606,0.3689401443691606
507,1,-1.1659297061745129,-0.7089256698282238,-0.9160203026456042,2.908067586514806,3.7770015058104436,42.990778403718146,-901.9593477798311,15.0,1.0,0.5197696983475791,-901.9593477798311,905.3092411830371,0.2792672061216308,1.7488443509265608,4.0,0.0,0.3689401443691606,0.3689401443691606
508,1,-1.102518131043631,-0.8702054608407757,-0.5430614015920288,3.6764915973155334,3.751746529901983,43.24010378042146,-900.3030801274865,15.0,1.0,0.7856406670787716,-900.3030801274865,904.2098936695917,-0.2554793773330175,0.7630998997973393,4.0,0.0,0.3689401443691606,0.3689401443691606
509,1,-1.1384513324978123,-0.6678066301759262,-0.8340554765015735,3.5376043551689893,4.363902645731843,51.24551275433395,-901.5961633628591,15.0,1.0,0.9069350098078888,-901.5961633628591,903.742331775158,0.17184988739847995,0.29147376679088666,3.0,0.0,0.3689401443691606,0.3689401443691606
510,1,-1.3137217222680135,-0.9446714064856003,-0.24103711179335363,3.6036737328497983,4.0146592747597225,48.976750685650195,-903.6634942321357,15.0,1.0,0.6487137352260495,-903.6634942321357,906.2689320915897,-0.0077490669120834355,1.2588512949699862,4.0,0.0,0.3689401443691606,0.3689401443691606
511,1,-1.1744907125438893,-0.82906226209262,-0.37440921772630276,4.1267719315926135,3.9876815927326503,48.23199571734339,-900.4046301167452,3.0,1.0,0.9853371081965818,-900.4046301167452,904.209261612297,-0.36736530590030725,-0.36736530590030725,2.0,0.0,0.3689401443691606,0.3689401443691606
512,1,-1.2223796863105942,-0.6994931344146398,-0.5529655194181675,3.5005756794904217,3.9830943720843845,48.4079581724587,-899.7594660112853,7.0,1.0,0.9409430015165833,-899.7594660112853,903.4077466553503,-0.0461569960647239,0.1291927057503699,2.0,0.0,0.3689401443691606,0.3689401443691606
513,1,-1.2591993000094828,-0.7713803536683663,-0.903824485684753,4.026991243796778,3.3925624142661497,40.00707526454595,-901.7320325441418,15.0,1.0,0.9336812909204343,-901.7320325441418,902.4501886165178,0.1453904355244049,0.1453904355244049,4.0,0.0,0.3689401443691606,0.3689401443691606
514,1,-1.3383789560115087,-0.6373551349629683,-0.7673315200124193,2.932359712202881,3.5894080567728093,42.87468348423137,-902.4039930095869,7.0,1.0,0.9943980868475408,-902.4039930095869,903.8904690927465,-0.01929769090611444,-0.1567266934333702,3.0,0.0,0.3689401443691606,0.3689401443691606
515,1,-1.1255710118763638,-0.888184179287844,-0.1782352618545815,3.7988255240831577,3.653920470818941,43.88424447468019,-900.7994389490896,15.0,1.0,1.0,-900.7994389490896,904.0164723847032,-0.12493706808891147,-0.12493706808891147,4.0,0.0,0.3689401443691606,0.3689401443691606
516,1,-1.1042138017545255,-0.8867521376948986,-0.2557453715266025,4.449380457807156,4.087824961945239,49.14509475787063,-902.1449236795793,15.0,1.0,0.7993643806552727,-902.1449236795793,905.3011669277757,0.029968909751687534,0.44691014480747526,3.0,0.0,0.3689401443691606,0.3689401443691606
517,1,-1.0105371654783415,-0.8756179084224271,-0.1208479813409582,3.8479642057920884,3.8680895901942294,45.89815080859105,-901.336693657418,15.0,1.0,0.9892637686307106,-901.336693657418,903.36627461747,-0.01641156744642558,-0.07683329262215466,3.0,0.0,0.3689401443691606,0.3689401443691606
518,1,-1.0128779891919084,-0.9250093251141607,-0.9234270888870277,3.652832762344952,3.7277247090194825,46.93061276357771,-901.8479903336953,7.0,1.0,0.8460417953023999,-901.8479903336953,903.8354550101727,0.2997073144568958,0.3283346124488844,3.0,0.0,0.3689401443691606,0.3689401443691606
519,1,-1.079135780774152,-0.8840387892442152,-0.3464954690857418,3.6640167266888533,3.6627710063502223,44.058939959541156,-900.39949560719,7.0,1.0,0.9293815198789935,-900.39949560719,904.9447308329237,-0.30508766271259447,0.341374389935595,3.0,0.0,0.3689401443691606,0.3689401443691606
520,1,-1.108062711387598,-0.7774795278095255,-0.4030450271074457,3.9275191146727715,4.00178086023298,48.543718860960404,-900.3351176956047,15.0,1.0,0.7110545721600905,-900.3351176956047,903.1742984517515,0.008343717125171679,0.7128477703971612,3.0,0.0,0.3689401443691606,0.3689401443691606
521,1,-1.2479977752513953,-0.8637917387198595,-0.6254006820358367,4.27022790379187,3.9308688040733815,46.57138668490618,-901.1216918663124,7.0,1.0,0.9394508096058168,-901.1216918663124,902.3732211608626,0.06198577782663506,0.11819918003573093,3.0,0.0,0.3689401443691606,0.3689401443691606
522,1,-1.1324863824790068,-0.7814371412815948,-0.3747035753869774,3.5644661615272453,3.654825310718959,43.78716199886082,-899.7780885088331,7.0,1.0,0.8360748756447551,-899.7780885088331,902.3414719557062,-0.09547595895583072,0.3780241706679135,3.0,0.0,0.3689401443691606,0.3689401443691606
523,1,-0.8615461645726814,-0.7675533917366231,-1.1479670968693192,2.891675711053055,3.9248382069235537,48.19442654698953,-902.7210495311119,15.0,1.0,0.5441920801422959,-902.7210495311119,905.4640192168185,0.06239894112161437,1.7035565418506167,3.0,0.0,0.3689401443691606,0.3689401443691606
524,1,-1.5929196556782426,-0.7071298885781641,-0.4006975486649509,4.205860632964556,4.38010227102099,53.711582215121396,-902.7899989312076,15.0,1.0,0.9237236911473923,-902.7899989312076,905.8651424815595,-0.03159501792970332,0.2183668467669122,3.0,0.0,0.3689401443691606,0.3689401443691606
