iteration,chain,alpha,beta,gamma,freq,e_alpha,e_beta,lp,n_steps,is_accept,acceptance_rate,log_density,hamiltonian_energy,hamiltonian_energy_error,max_hamiltonian_energy_error,tree_depth,numerical_error,step_size,nom_step_size
501,1,-1.040699290826165,-0.8798555074159591,-0.6865165308719732,3.8552540666280004,4.163381477797465,48.86558503901512,-901.0237567038151,15.0,1.0,0.8879155584222113,-901.0237567038151,902.9583595242567,0.16005686054700163,0.2457021251018432,4.0,0.0,0.33898391664719196,0.33898391664719196
502,1,-1.3369118045759691,-0.6900848650945761,-0.4041953535403362,3.350703837893823,3.807330624896364,41.76020058958111,-902.8733258500871,15.0,1.0,0.6862817759371981,-902.8733258500871,904.4103061061304,0.8741263820800214,0.8741263820800214,3.0,0.0,0.33898391664719196,0.33898391664719196
503,1,-1.057773064224902,-0.7734754423680776,-1.1525320001973292,3.3926602571862463,3.825572526061763,42.582871641454204,-902.2631137390885,15.0,1.0,0.9782609006382399,-902.2631137390885,903.7526874882243,-0.3399890183986827,-1.0433003233105183,3.0,0.0,0.33898391664719196,0.33898391664719196
504,1,-1.1185291901512304,-0.7942646429346389,-1.1146820570886913,3.2630002900701744,3.5482406251131144,40.25035034862869,-901.1553614890474,7.0,1.0,0.8619923891750874,-901.1553614890474,904.1286798043975,-0.4345561084775227,-0.5541654963117253,3.0,0.0,0.33898391664719196,0.33898391664719196
505,1,-1.065310102670276,-0.7995866094876263,-0.9846936396831953,3.585067166980455,3.4971164955673837,43.03910407868566,-900.8701084520268,15.0,1.0,0.9075532492160825,-900.8701084520268,902.6791820664743,-0.07264665758634692,0.3287818891448069,3.0,0.0,0.33898391664719196,0.33898391664719196
506,1,-1.032926155562258,-0.8042995884586688,-0.9850515175390981,3.6421148783842385,3.5898344660965638,40.619882166501085,-901.6364704349601,7.0,1.0,0.9370099014767008,-901.6364704349601,902.602176785164,0.13964305385934495,0.13964305385934495,3.0,0.0,0.33898391664719196,0.33898391664719196
507,1,-1.0729093037627493,-0.8944030538188734,-0.32816458232874446,3.3806578270194128,4.302939090402834,50.510093015979635,-902.806549514596,15.0,1.0,0.9938765172482118,-902.806549514596,904.5254883908985,0.05890552029268292,-0.3436222762985608,3.0,0.0,0.33898391664719196,0.33898391664719196
508,1,-1.5759279906976467,-0.7513207943796427,-1.1618185802276706,3.4788391781377506,3.431797597175437,39.19240317332354,-903.872256161511,15.0,1.0,0.9880981567603567,-903.872256161511,909.3593005014924,-0.09565315987742906,-0.28298904740051967,4.0,0.0,0.33898391664719196,0.33898391664719196
509,1,-1.4418415481177345,-0.6433007869183971,-0.8670823216583621,3.474002500747511,3.403697692390733,40.05705224894768,-901.0558416254937,7.0,1.0,0.9091863111218818,-901.0558416254937,904.7804050064441,-0.26007383188482436,-0.26007383188482436,3.0,0.0,0.33898391664719196,0.33898391664719196
510,1,-1.393168485313737,-0.6223996501418689,-0.4265609884313033,3.9686289143314957,3.868425936149389,45.971903645317646,-901.0785555396089,15.0,1.0,0.9699014101710861,-901.0785555396089,902.8973247295751,0.02498479104008311,0.06374254867739637,4.0,0.0,0.33898391664719196,0.33898391664719196
511,1,-1.6082308207021967,-0.7518066263261289,-0.3646261275346081,4.461792893439534,3.9156653142104085,47.453527860371025,-902.7773143414302,7.0,1.0,0.6584269771933996,-902.7773143414302,904.5553841782697,-0.008585712872445583,0.9129156898801511,3.0,0.0,0.33898391664719196,0.33898391664719196
512,1,-1.1990538675618403,-0.7572503534506918,-0.3210367389155575,4.1751086525216285,4.366086167539515,54.462022025617,-901.8140228146656,15.0,1.0,0.6001067677840167,-901.8140228146656,906.2514650592689,0.023529732034944573,1.0757809151914444,4.0,0.0,0.33898391664719196,0.33898391664719196
513,1,-1.2984485237493857,-0.7558245962398473,-1.0780678258058831,3.0540176732368014,3.816662787224771,45.43523469861064,-901.0997002928199,15.0,1.0,0.7791998664653286,-901.0997002928199,903.6770409662821,0.016342880669526494,0.556190174462813,4.0,0.0,0.33898391664719196,0.33898391664719196
