PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC,DetStatus,NDet,NObs,LastObs
HD 166_0,HD 166,1.592,0.09,1.08,2.269,13.766,0.94,0.647,0.085,204.145,1.727,0.779,8.85511589410636e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.0
HD 166_1,HD 166,0.635,0.021,0.515,0.073,13.766,0.94,0.647,0.02,192.168,0.644,0.009,3.0178336849759803e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.0
HD 216803_1,HD 216803,3.539,0.087,2.035,4.875,7.601,0.72,0.196,0.46,194.61,3.823,0.548,1.0029949104193914e-10,35429.01613840644,9.841393371779567,0.02220284777859467,0.3185980460843817,0.0006642894401917679,1,1,1,1,1,2035.001
HD 216803_3,HD 216803,0.104,0.044,0.893,0.812,7.601,0.72,0.196,0.013,30.499,0.1,0.369,1.5822546482724324e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.001
HD 216803_4,HD 216803,2.738,0.038,2.631,16.763,7.601,0.72,0.196,0.089,1.239,2.776,0.971,1.0701174928211475e-10,-468024.73005857575,-130.00686946071548,0.0196858148541794,0.39531244652705966,0.0029657214534721064,1,1,1,1,1,2035.001
HD 216803_5,HD 216803,0.109,0.06,0.686,0.087,7.601,0.72,0.196,0.013,152.21,0.107,0.532,1.3975173087584926e-08,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.001
HD 216803_6,HD 216803,0.431,0.071,1.431,3.714,7.601,0.72,0.196,0.05,19.147,0.404,0.509,2.22332735745929e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.001
HD 10780_0,HD 10780,0.841,0.11,1.077,3.175,10.041,0.9,0.516,0.061,199.681,0.75,0.656,1.1224182618219824e-10,-4331.88992534183,-1.2033027570393973,0.027691990978378673,0.7667243152070123,0.014108077513870686,1,1,1,1,1,2035.003
HD 10780_3,HD 10780,2.25,0.098,1.348,2.964,10.041,0.9,0.516,0.129,68.18,2.225,0.837,1.5567425857571402e-10,4234.945413816419,1.1763737260601164,0.07011697668107139,0.3455917334150198,0.0014741000601109096,1,1,1,1,1,2035.003
HD 10780_4,HD 10780,2.669,0.102,2.513,18.829,10.041,0.9,0.516,0.239,199.363,2.406,0.294,1.1617533452812092e-10,6783.666036207644,1.8843516767243456,0.05453037064614648,0.34357840792819283,0.0014137002955061022,1,1,1,1,1,2035.003
HD 156274 A_3,HD 156274 A,4.433,0.138,1.608,2.565,8.791,0.9,0.452,0.544,119.054,4.834,0.249,4.921656673084956e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.004
HD 88230_0,HD 88230,1.858,0.024,1.413,3.099,4.871,0.63,0.103,0.272,201.813,1.827,0.741,3.5272353524567215e-10,3800.0503522954486,1.0555695423042912,0.07080195143173586,0.31657544082394645,0.0006036112823787106,1,1,1,1,1,2035.005
HD 88230_1,HD 88230,0.369,0.102,2.613,10.567,4.871,0.63,0.103,0.036,3.783,0.403,0.01,1.3334495610426484e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.005
HD 88230_2,HD 88230,0.941,0.058,0.511,0.385,4.871,0.63,0.103,0.19,167.839,0.994,0.521,6.62933581085807e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.005
HD 88230_3,HD 88230,1.397,0.055,1.541,2.774,4.871,0.63,0.103,0.217,120.379,1.472,0.746,4.189618552825968e-10,2800.20286093332,0.7778341280370333,0.08380983008786214,0.31657544082415223,0.0006036112823848829,1,1,1,1,1,2035.005
HD 88230_4,HD 88230,0.683,0.12,0.831,0.351,4.871,0.63,0.103,0.076,299.043,0.764,0.013,9.169668328598881e-12,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.005
HD 88230_5,HD 88230,2.552,0.09,1.594,2.577,4.871,0.63,0.103,0.462,356.137,2.739,0.656,2.004997890290512e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.005
HD 88230_6,HD 88230,2.842,0.103,0.661,0.337,4.871,0.63,0.103,0.373,22.946,2.927,0.031,8.678663843457948e-13,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.005
HD 32147_1,HD 32147,0.121,0.122,1.044,4.364,8.844,0.75,0.29,0.014,126.758,0.136,0.575,7.435637367349222e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.007
HD 32147_2,HD 32147,3.272,0.062,1.942,10.352,8.844,0.75,0.29,0.386,42.311,3.475,0.421,6.47348531316235e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.007
HD 37394_0,HD 37394,1.839,0.051,0.552,0.135,12.27,0.88,0.478,0.071,307.116,1.908,0.901,4.432332033934103e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.008
HD 37394_1,HD 37394,0.501,0.058,1.934,8.22,12.27,0.88,0.478,0.038,259.723,0.513,0.54,6.67213855649494e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.008
HD 37394_3,HD 37394,1.245,0.044,1.502,3.708,12.27,0.88,0.478,0.08,21.573,1.218,0.082,3.624512425463209e-11,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.008
HD 37394_5,HD 37394,0.152,0.102,1.111,1.26,12.27,0.88,0.478,0.011,331.231,0.137,0.2,5.014737723688961e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.008
HD 37394_9,HD 37394,0.863,0.077,0.726,0.488,12.27,0.88,0.478,0.039,177.192,0.798,0.827,4.3373090234794993e-10,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.008
HD 37394_10,HD 37394,0.093,0.059,3.205,19.869,12.27,0.88,0.478,0.002,138.246,0.092,0.976,3.986665300852805e-07,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.008
HD 37394_11,HD 37394,1.171,0.065,2.415,8.838,12.27,0.88,0.478,0.094,301.414,1.196,0.194,3.6972014585403153e-10,3229.8871308604885,0.8971908696834691,0.08797398880413645,0.3943310521361277,0.002936279621744147,1,1,1,1,1,2035.008
HD 37394_15,HD 37394,0.222,0.142,1.093,2.551,12.27,0.88,0.478,0.018,139.425,0.235,0.525,1.979354365253592e-09,inf,inf,0.0,inf,inf,0,0,0,0,1,2035.008
