PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 166_0,HD 166,1.592,0.09,1.08,2.269,13.766,0.94,0.647,0.085,204.145,1.727,0.779,0,0,1,2035.0
HD 166_1,HD 166,0.635,0.021,0.515,0.073,13.766,0.94,0.647,0.02,192.168,0.644,0.009,0,0,1,2035.0
HD 216803_1,HD 216803,3.539,0.087,2.035,4.875,7.601,0.72,0.196,0.46,194.61,3.823,0.548,1,1,1,2035.001
HD 216803_3,HD 216803,0.104,0.044,0.893,0.812,7.601,0.72,0.196,0.013,30.499,0.1,0.369,0,0,1,2035.001
HD 216803_4,HD 216803,2.738,0.038,2.631,16.763,7.601,0.72,0.196,0.089,1.239,2.776,0.971,1,1,1,2035.001
HD 216803_5,HD 216803,0.109,0.06,0.686,0.087,7.601,0.72,0.196,0.013,152.21,0.107,0.532,0,0,1,2035.001
HD 216803_6,HD 216803,0.431,0.071,1.431,3.714,7.601,0.72,0.196,0.05,19.147,0.404,0.509,0,0,1,2035.001
HD 10780_0,HD 10780,0.841,0.11,1.077,3.175,10.041,0.9,0.516,0.061,199.681,0.75,0.656,1,1,1,2035.003
HD 10780_3,HD 10780,2.25,0.098,1.348,2.964,10.041,0.9,0.516,0.129,68.18,2.225,0.837,1,1,1,2035.003
HD 10780_4,HD 10780,2.669,0.102,2.513,18.829,10.041,0.9,0.516,0.239,199.363,2.406,0.294,1,1,1,2035.003
HD 156274 A_3,HD 156274 A,4.433,0.138,1.608,2.565,8.791,0.9,0.452,0.544,119.054,4.834,0.249,0,0,1,2035.004
HD 88230_0,HD 88230,1.858,0.024,1.413,3.099,4.871,0.63,0.103,0.272,201.813,1.827,0.741,1,1,1,2035.005
HD 88230_1,HD 88230,0.369,0.102,2.613,10.567,4.871,0.63,0.103,0.036,3.783,0.403,0.01,0,0,1,2035.005
HD 88230_2,HD 88230,0.941,0.058,0.511,0.385,4.871,0.63,0.103,0.19,167.839,0.994,0.521,0,0,1,2035.005
HD 88230_3,HD 88230,1.397,0.055,1.541,2.774,4.871,0.63,0.103,0.217,120.379,1.472,0.746,1,1,1,2035.005
HD 88230_4,HD 88230,0.683,0.12,0.831,0.351,4.871,0.63,0.103,0.076,299.043,0.764,0.013,0,0,1,2035.005
HD 88230_5,HD 88230,2.552,0.09,1.594,2.577,4.871,0.63,0.103,0.462,356.137,2.739,0.656,0,0,1,2035.005
HD 88230_6,HD 88230,2.842,0.103,0.661,0.337,4.871,0.63,0.103,0.373,22.946,2.927,0.031,0,0,1,2035.005
HD 32147_1,HD 32147,0.121,0.122,1.044,4.364,8.844,0.75,0.29,0.014,126.758,0.136,0.575,0,0,1,2035.007
HD 32147_2,HD 32147,3.272,0.062,1.942,10.352,8.844,0.75,0.29,0.386,42.311,3.475,0.421,0,0,1,2035.007
HD 37394_0,HD 37394,1.839,0.051,0.552,0.135,12.27,0.88,0.478,0.071,307.116,1.908,0.901,0,0,1,2035.008
HD 37394_1,HD 37394,0.501,0.058,1.934,8.22,12.27,0.88,0.478,0.038,259.723,0.513,0.54,0,0,1,2035.008
HD 37394_3,HD 37394,1.245,0.044,1.502,3.708,12.27,0.88,0.478,0.08,21.573,1.218,0.082,0,0,1,2035.008
