PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,DetStatus,NDet,NObs,LastObs
HD 134083_0,HD 134083,0.116,0.07,1.9,8.412,19.536,1.33,3.255,0.006268,272.869603,0.12412,0.240893,0,0,1,2035.0
HD 134083_1,HD 134083,0.36,0.097,1.358,2.287,19.536,1.33,3.255,0.016497,186.527565,0.346193,0.522391,0,0,1,2035.0
HD 134083_2,HD 134083,8.001,0.002,1.853,3.232,19.536,1.33,3.255,0.379145,210.103239,8.015139,0.150794,0,0,1,2035.0
HD 134083_3,HD 134083,0.749,0.13,0.881,0.699,19.536,1.33,3.255,0.031884,2.422293,0.842377,0.057025,0,0,1,2035.0
HD 134083_4,HD 134083,0.959,0.114,0.591,0.172,19.536,1.33,3.255,0.042954,268.842907,1.062061,0.073753,0,0,1,2035.0
HD 128167_0,HD 128167,1.283,0.14,1.15,1.235,15.756,1.39,3.182,0.065114,83.036463,1.108295,0.530503,1,1,1,2035.00137
HD 128167_1,HD 128167,9.3,0.084,1.625,5.555,15.756,1.39,3.182,0.538618,336.315986,8.51886,0.275953,0,0,1,2035.00137
HD 128167_2,HD 128167,3.433,0.063,1.328,2.101,15.756,1.39,3.182,0.183443,169.16247,3.264553,0.120924,0,0,1,2035.00137
HD 128167_3,HD 128167,4.878,0.117,2.132,7.845,15.756,1.39,3.182,0.342666,6.149477,5.403564,0.339011,0,0,1,2035.00137
HD 128167_4,HD 128167,1.323,0.044,1.923,3.589,15.756,1.39,3.182,0.065646,331.065699,1.373946,0.061046,0,0,1,2035.00137
HD 142373_0,HD 142373,1.268,0.168,0.757,2.682,15.898,1.08,3.136,0.06628,306.35709,1.481016,0.752111,0,0,1,2035.00274
HD 142373_1,HD 142373,1.76,0.092,0.868,0.779,15.898,1.08,3.136,0.095717,297.663901,1.626159,0.162,0,0,1,2035.00274
HD 142373_2,HD 142373,0.834,0.129,2.923,8.082,15.898,1.08,3.136,0.044822,51.872021,0.731442,0.439244,0,0,1,2035.00274
HD 142373_3,HD 142373,8.853,0.13,1.971,2.491,15.898,1.08,3.136,0.337147,57.989111,8.331721,0.034473,0,0,1,2035.00274
HD 142373_4,HD 142373,1.161,0.006,1.265,2.366,15.898,1.08,3.136,0.072425,89.306103,1.154346,0.354724,1,1,1,2035.00274
HD 142373_5,HD 142373,5.597,0.041,0.807,0.257,15.898,1.08,3.136,0.350972,98.204389,5.821603,0.473969,0,0,1,2035.00274
HD 142373_6,HD 142373,4.705,0.105,0.947,0.6,15.898,1.08,3.136,0.311877,70.090626,4.974415,0.359663,0,0,1,2035.00274
HD 142373_7,HD 142373,1.878,0.051,2.611,7.359,15.898,1.08,3.136,0.094195,5.427714,1.828393,0.659176,1,1,1,2035.00274
HD 142373_8,HD 142373,3.092,0.053,1.805,4.162,15.898,1.08,3.136,0.179902,253.065929,3.09882,0.534646,0,0,1,2035.00274
HD 22484_0,HD 22484,0.838,0.146,1.142,1.222,13.92,1.14,3.068,0.058837,159.090247,0.82385,0.374326,0,0,1,2035.00411
HD 22484_1,HD 22484,1.12,0.109,1.996,7.041,13.92,1.14,3.068,0.066953,221.27084,1.184844,0.072451,0,0,1,2035.00411
HD 22484_2,HD 22484,0.469,0.117,1.765,7.572,13.92,1.14,3.068,0.026303,340.87332,0.503206,0.053684,0,0,1,2035.00411
HD 22484_3,HD 22484,5.364,0.086,2.581,5.513,13.92,1.14,3.068,0.38737,335.337724,5.689771,0.175082,0,0,1,2035.00411
HD 22484_4,HD 22484,9.855,0.123,3.171,15.315,13.92,1.14,3.068,0.631504,117.989389,9.103442,0.45909,0,0,1,2035.00411
HD 22484_5,HD 22484,4.456,0.081,0.516,0.044,13.92,1.14,3.068,0.165794,304.377033,4.137842,0.021217,0,0,1,2035.00411
HD 22484_6,HD 22484,7.645,0.037,1.223,2.776,13.92,1.14,3.068,0.523309,67.921195,7.384681,0.240515,0,0,1,2035.00411
HD 22484_7,HD 22484,3.201,0.074,0.943,0.719,13.92,1.14,3.068,0.213703,135.844916,2.977956,0.341854,0,0,1,2035.00411
HD 142860_0,HD 142860,0.405,0.081,2.385,10.978,11.254,1.25,3.039,0.021011,245.813006,0.429913,0.020255,0,0,1,2035.005479
HD 142860_1,HD 142860,7.092,0.103,0.797,0.48,11.254,1.25,3.039,0.687054,294.921458,7.737479,0.337166,0,0,1,2035.005479
HD 142860_2,HD 142860,3.184,0.073,1.146,1.419,11.254,1.25,3.039,0.265094,124.236975,3.138855,0.489235,0,0,1,2035.005479
HD 142860_3,HD 142860,0.465,0.068,1.963,3.609,11.254,1.25,3.039,0.037303,259.20489,0.445565,0.50389,0,0,1,2035.005479
HD 142860_4,HD 142860,8.103,0.031,1.153,0.509,11.254,1.25,3.039,0.719875,53.194256,8.324994,0.441862,0,0,1,2035.005479
HD 142860_5,HD 142860,0.92,0.074,2.443,6.736,11.254,1.25,3.039,0.058395,186.44128,0.85342,0.066628,0,0,1,2035.005479
HD 142860_6,HD 142860,0.627,0.092,3.102,12.565,11.254,1.25,3.039,0.031569,60.169708,0.684332,0.01675,0,0,1,2035.005479
HD 142860_7,HD 142860,9.483,0.032,0.935,2.59,11.254,1.25,3.039,0.63886,298.313259,9.274575,0.068391,0,0,1,2035.005479
