PlanetID,StarName,SMA_AU,ecc,Rp_REarth,Mp_MEarth,d_pc,M_sol,L_sol,Sep,PA,3dDist,PhaseFunc,PlanetContrast,tReq_s,tReq_hr,Cp_e_s,Cb_e_s,Csp_e_s,DetStatus_Ideal,DetStatus_ETC_3hr,DetStatus_ETC_12hr,DetStatus_ETC_24hr,DetStatus,NDet,NObs,LastObs
HD 142860_0,HD 142860,0.405,0.081,2.385,6.459,11.254,1.25,3.039,,,0.432647,0.036004,7.520638600779662e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.0
HD 142860_2,HD 142860,3.184,0.073,1.146,0.989,11.254,1.25,3.039,,,3.137289,0.489767,4.503864553858018e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.0
HD 142860_3,HD 142860,0.465,0.068,1.963,1.786,11.254,1.25,3.039,,,0.448867,0.456699,6.0037977849673825e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.0
HD 142860_5,HD 142860,0.92,0.074,2.443,8.017,11.254,1.25,3.039,0.061553,171.593326,0.852826,0.077624,4.944440726794452e-10,213.53572772340317,0.05931547992316755,0.6146403701478599,1.0266287647076355,0.0048678246664198635,1,1,1,1,1,1,1,2035.0
HD 142860_6,HD 142860,0.627,0.092,3.102,5.436,11.254,1.25,3.039,,,0.683736,0.013926,1.5336171896535586e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.0
HD 30652_0,HD 30652,0.357,0.032,0.524,0.119,8.068,1.25,2.71,,,0.365625,0.127961,1.9543568336978538e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.00274
HD 30652_1,HD 30652,3.379,0.099,2.314,9.159,8.068,1.25,2.71,,,3.373807,0.062634,2.3459249596821392e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.00274
HD 30652_2,HD 30652,1.418,0.081,1.563,7.047,8.068,1.25,2.71,,,1.445627,0.039208,3.92354833672723e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.00274
HD 30652_3,HD 30652,3.27,0.133,2.129,5.731,8.068,1.25,2.71,,,3.338083,0.229225,6.984265033971411e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.00274
HD 30652_4,HD 30652,2.754,0.119,2.49,10.16,8.068,1.25,2.71,,,3.074987,0.071549,2.2973713260105044e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.00274
HD 22484_0,HD 22484,0.838,0.146,1.142,1.607,13.92,1.14,3.068,,,0.82237,0.380818,4.79479479612343e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.005479
HD 22484_1,HD 22484,1.12,0.109,1.996,7.679,13.92,1.14,3.068,0.068912,140.959757,1.1856,0.071022,1.3580964220550964e-10,2586.7431267225543,0.7185397574229317,0.1321358622379751,0.7644080002644912,0.0031196862367989004,1,1,1,1,1,1,1,2035.005479
HD 22484_2,HD 22484,0.469,0.117,1.765,3.166,13.92,1.14,3.068,,,0.504336,0.050543,4.4571292921994e-10,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.005479
HD 22484_5,HD 22484,4.456,0.081,0.516,0.034,13.92,1.14,3.068,,,4.137663,0.021204,2.416247938953878e-13,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.005479
HD 22484_7,HD 22484,3.201,0.074,0.943,1.501,13.92,1.14,3.068,,,2.977818,0.342381,2.758620851087627e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.005479
HD 128167_0,HD 128167,1.283,0.14,1.15,1.29,15.756,1.39,3.182,0.060285,272.746349,1.106751,0.504977,3.82675087444938e-10,506.4060574753338,0.14066834929870384,0.31321687511952023,0.6970663168564945,0.0026707416807455883,1,1,1,1,1,1,1,2035.008219
HD 128167_2,HD 128167,3.433,0.063,1.328,2.483,15.756,1.39,3.182,,,3.265706,0.123025,1.058932731995132e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.008219
HD 128167_3,HD 128167,4.878,0.117,2.132,5.678,15.756,1.39,3.182,,,5.402613,0.34073,3.127612664272281e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.008219
HD 128167_4,HD 128167,1.323,0.044,1.923,2.477,15.756,1.39,3.182,,,1.374824,0.056098,8.618957127653539e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.008219
HD 142373_0,HD 142373,1.268,0.168,0.757,0.148,15.898,1.08,3.136,0.065657,50.981833,1.480966,0.760182,1.4120726101967647e-10,3841.368799605132,1.0670468887792033,0.09915021933989944,0.6501744657502658,0.002358129340037398,1,1,1,1,1,1,1,2035.010959
HD 142373_1,HD 142373,1.76,0.092,0.868,0.535,15.898,1.08,3.136,,,1.623932,0.157206,2.793946854462918e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.010959
HD 142373_2,HD 142373,0.834,0.129,2.923,6.259,15.898,1.08,3.136,,,0.729161,0.395392,4.517276240412954e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.010959
HD 142373_4,HD 142373,1.161,0.006,1.265,2.536,15.898,1.08,3.136,0.072509,267.280046,1.154264,0.33616,3.6540055345090096e-10,502.49189039551237,0.1395810806654201,0.29964647047809845,0.6188032633956136,0.0021489879910063835,1,1,1,1,1,1,1,2035.010959
HD 142373_6,HD 142373,4.705,0.105,0.947,0.923,15.898,1.08,3.136,,,4.972352,0.35739,8.36989624796797e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.010959
HD 142373_7,HD 142373,1.878,0.051,2.611,6.816,15.898,1.08,3.136,0.095347,355.526178,1.826648,0.671025,8.056377992435813e-10,94.71400704462522,0.026309446401284783,0.824850549521582,0.4901215109686966,0.0012911096414936032,1,1,1,1,1,1,1,2035.010959
HD 142373_8,HD 142373,3.092,0.053,1.805,7.326,15.898,1.08,3.136,0.179437,107.614889,3.097194,0.538987,1.241708609223835e-10,1271.5351703384479,0.3532042139829022,0.14758302488398017,0.41680232662455385,0.0008023150791993181,1,1,1,1,1,1,1,2035.010959
HD 134083_0,HD 134083,0.116,0.07,1.9,7.058,19.536,1.33,3.255,,,0.109549,0.781009,1.619143293412573e-07,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.013699
HD 134083_1,HD 134083,0.36,0.097,1.358,2.746,19.536,1.33,3.255,,,0.362146,0.710756,5.854736801470269e-09,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.013699
HD 134083_3,HD 134083,0.749,0.13,0.881,0.684,19.536,1.33,3.255,,,0.845255,0.075785,5.2111717277282015e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.013699
HD 134083_4,HD 134083,0.959,0.114,0.591,0.338,19.536,1.33,3.255,,,1.058106,0.080873,1.981348818513005e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.013699
HD 23249_0,HD 23249,2.38,0.039,0.804,0.586,9.089,0.87,2.941,,,2.454617,0.741009,5.248330947314573e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.016438
HD 23249_1,HD 23249,2.348,0.031,1.487,3.029,9.089,0.87,2.941,,,2.317957,0.035053,1.0412788630531742e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.016438
HD 38393_0,HD 38393,0.205,0.072,1.088,1.383,8.905,1.23,2.344,,,0.19305,0.566221,1.4319206257172489e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.019178
HD 38393_1,HD 38393,3.39,0.099,0.656,0.073,8.905,1.23,2.344,,,3.695019,0.169218,4.043418137956943e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.019178
HD 38393_3,HD 38393,0.355,0.086,1.549,2.098,8.905,1.23,2.344,,,0.337609,0.759401,1.3481876041263173e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.019178
HD 38393_4,HD 38393,4.373,0.052,1.208,1.876,8.905,1.23,2.344,,,4.168474,0.051022,3.559220152566855e-12,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.019178
HD 693_0,HD 693,1.045,0.058,1.136,2.579,18.886,1.18,2.997,,,0.999517,0.101349,8.476526720451199e-11,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.021918
HD 693_1,HD 693,0.139,0.106,2.768,7.407,18.886,1.18,2.997,,,0.152861,0.089447,1.9947405390078544e-08,inf,inf,0.0,inf,inf,0,0,0,0,0,0,1,2035.021918
HD 693_3,HD 693,1.448,0.069,1.975,3.042,18.886,1.18,2.997,0.061912,237.240332,1.547902,0.73119,6.563017633144024e-10,455.4075651631092,0.126502101434197,0.30830971088012754,0.5735789496507779,0.001847492566040812,1,1,1,1,1,1,1,2035.021918
